name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
ELANCO ANIMAL HEALTH INC,28414H103,155394390,10578243,,ELAN
GLOBUS MED INC,379577208,102547010,1433422,,
SANOFI,80105N105,94234789,1635169,,SNYNF
THE CIGNA GROUP,125523100,86039760,248354,,
MCKESSON CORP,58155Q103,80533602,162885,,MCK
JOHNSON & JOHNSON,478160104,78168020,482340,,JNJ
OPTION CARE HEALTH INC,68404L201,59762123,1909333,,
ENOVIS CORPORATION,194014502,47381002,1100604,,ENOV
NOVO-NORDISK A S,670100205,39694009,333367,,
ASTRAZENECA PLC,046353108,37396800,480000,,AZN
EQV VENTURES ACQUISITION COR,G3106N125,34063376,3430350,,
GREAT AJAX CORP,38983D300,32747913,9834208,,
CHURCHILL CAPITAL CORP IX,G21301125,25102811,2450250,,
M3BRIGADE ACQUISITION V CORP,G63212123,24576008,2450250,,
WHEELER REAL ESTATE INVT TR,963025804,22420748,190823,,
VOYAGER ACQUISITION CORP,G93A7H120,21562200,2156220,,
LIONHEART HOLDINGS,G5501C125,19817622,1960200,,CUBWW
SIM ACQUISITION CORP. I,G8431T127,19680408,1960200,,SIMAW
LAUNCH ONE ACQUISITION CORP,G5S86M118,19621602,1960200,,LPAAU
HCM II ACQUISITION CORP,G43658114,19582398,1960200,,
UNITEDHEALTH GROUP INC,91324P102,18849499,32239,,UNH
CENTURION ACQUISITION CORP,G20315126,18673875,1856250,,ALFUW
VINE HILL CAP INVT CORP.,G93Y09123,18000000,1800000,,
ZIMMER BIOMET HOLDINGS INC,98956P102,17899945,165817,,
GRAF GLOBAL CORP,G4036C114,16767878,1633500,,TONT-WT
SOLVENTUM CORP,83444M101,16731545,239982,,SOLV
AIRBNB INC,009066AB7,15060177,16188000,,
ANDRETTI ACQUISITION CORP II,G26745110,14000000,1400000,,
QUIDELORTHO CORP,219798105,12996000,285000,,QDEL
CLOUDFLARE INC,18915MAC1,11767332,12717000,,
WAYFAIR INC,94419LAR2,11537819,7844000,,W
NCL CORP LTD,62886HBK6,9907577,10000000,,
BRIGHTSPRING HEALTH SVCS INC,10950A106,9739182,663432,,
CABLE ONE INC,12685JAE5,9644350,10500000,,
SEA LTD,81141RAF7,9344717,7794000,,SE
BLOCK INC,852234AF0,9201483,9379000,,
SAREPTA THERAPEUTICS INC,803607AD2,8922162,7850000,,
BRUKER CORP,116794108,8598039,124501,,BRKRP
DUKE ENERGY CORP NEW,26441CBY0,8410657,7937000,,DUK-PA
CMS ENERGY CORP,125896BX7,8410518,7850000,,CMS-PC
FIRSTENERGY CORP,337932AR8,8312938,7940000,,FE
ZTO EXPRESS CAYMAN INC,98980AAB1,8290158,7770000,,
BROOGE ENERGY LTD,G1611B107,7826950,5630899,,
FORD MTR CO,345370CZ1,7761372,7930000,,
NCL CORP LTD,62886HBD2,7659993,7910000,,
REGENERON PHARMACEUTICALS,75886F107,7358680,7000,,
VISHAY INTERTECHNOLOGY INC,928298AR9,7195766,7850000,,VSH
ETSY INC,29786AAL0,6864676,8015000,,ETSY
DRAFTKINGS INC NEW,26142RAB0,6827308,7841000,,DKNG
BLOOM ENERGY CORP,093712AK3,6527655,7140000,,BE
ALPHATEC HLDGS INC,02081G201,6132758,1103014,,
SILVERBOX CORP IV,G81354113,5957820,594000,,SBXD-WT
CHART INDS INC,16115Q407,5812829,115730,,
EXACT SCIENCES CORP,30063PAC9,5622536,6000000,,
EXPEDIA GROUP INC,30212PBE4,5165345,5425000,,
ORGANON & CO,68622V106,5025508,262703,,OGN
CONMED CORP,207410AH4,4729615,5100000,,CNMD
GSK PLC,37733W204,3997573,97788,,GLAXF
STERICYCLE INC,858912108,3955789,64849,,
JUNIPER NETWORKS INC,48203R104,3888645,99760,,
SOUTHWESTERN ENERGY CO,845467109,3849006,541351,,
MELAR ACQUISITION CORP. I,G6004G126,3812738,371250,,
KELLANOVA,487836108,3740909,46350,,
LUMENTUM HLDGS INC,55024UAF6,3621255,4198000,,
BLACK SPADE ACQUISITION II C,G1153L125,3575319,358428,,
SHOPIFY INC,82509LAA5,3517691,3653000,,SHOP
MONGODB INC,60937PAD8,3449115,2500000,,
AXONICS INC,05465P101,3410470,49001,,
DISCOVER FINL SVCS,254709108,3387583,24147,,
AKAMAI TECHNOLOGIES INC,00971TAN1,3303865,3262000,,AKAM
HASHICORP INC,418100103,3279409,96852,,
BARK INC,68622E104,3177318,1949275,,
CHAMPIONX CORPORATION,15872M104,3019040,100134,,
ETSY INC,29786AAJ5,2957768,3000000,,ETSY
ANSYS INC,03662Q105,2856199,8964,,
HEARTLAND FINL USA INC,42234Q102,2801774,49414,,
MARATHON OIL CORP,565849106,2728963,102477,,
CATALENT INC,148806102,2663081,43967,,
AVANTOR INC,05352A100,2587414,100016,,
MCGRATH RENTCORP,580589109,2185192,20756,,MGRC
INVESCO QQQ TR,46090E953,2137752,1319600,PUT,
ALBERTSONS COS INC,013091103,2130153,115268,,
FRONTIER COMMUNICATIONS PARE,35909D109,2113502,59485,,
TELLURIAN INC NEW,87968A104,2051244,2119054,,
WOLFSPEED INC,977852AD4,2024665,5330000,,
VIZIO HLDG CORP,92858V101,1950137,174587,,
AMEDISYS INC,023436108,1941106,20113,,
FIRST BANCSHARES INC MISS,318916103,1849467,57562,,
ESTABLISHMENT LABS HLDGS INC,G31249108,1628553,37637,,
CONOCOPHILLIPS,20825C104,1586359,15068,,COP
CHEGG INC,163092AD1,1437783,1500000,,
CHUYS HLDGS INC,171604101,1405978,37593,,
MATTERPORT INC,577096100,1270904,282423,,
UNITED STATES STL CORP NEW,912909108,1176772,33308,,
CHENGHE ACQUISITION II CO,G20873124,1153350,99000,,
IQVIA HLDGS INC,46266C105,1106650,4670,,
CHORD ENERGY CORPORATION,674215207,1101095,8455,,CHRD
CITIZENS FINL GROUP INC,174610105,1098664,26751,,
NEWS CORP NEW,65249B109,1095825,41150,,NWSLL
INTERCONTINENTAL EXCHANGE IN,45866F104,1095244,6818,,
COLGATE PALMOLIVE CO,194162103,1094261,10541,,CL
WEATHERFORD INTL PLC,G48833118,1094024,12883,,
EQUIFAX INC,294429105,1089633,3708,,EFX
BROWN & BROWN INC,115236101,1089043,10512,,
PROLOGIS INC.,74340W103,1088155,8617,,
APTARGROUP INC,038336103,1088010,6792,,
WASTE CONNECTIONS INC,94106B101,1087404,6081,,
FERGUSON ENTERPRISES INC,31488V107,1086972,5474,,
REPUBLIC SVCS INC,760759100,1086745,5411,,
OVINTIV INC,69047Q102,1086050,28349,,OVV
SS&C TECHNOLOGIES HLDGS INC,78467J100,1085915,14633,,
CADENCE DESIGN SYSTEM INC,127387108,1082494,3994,,
MARSH & MCLENNAN COS INC,571748102,1082210,4851,,
MOODYS CORP,615369105,1082065,2280,,
XYLEM INC,98419M100,1081725,8011,,XYL
CIVITAS RESOURCES INC,17888H103,1081146,21337,,
EVERSOURCE ENERGY,30040W108,1078797,15853,,ES
TE CONNECTIVITY PLC,G87052109,1078522,7143,,TEL
AMPHENOL CORP NEW,032095101,1071361,16442,,
SPIRIT AEROSYSTEMS HLDGS INC,848574109,1070002,32913,,
CURTISS WRIGHT CORP,231561101,1058382,3220,,CW
HALEON PLC,405552100,1058000,100000,,HLNCF
MERCADOLIBRE INC,58733R102,1036240,505,,MELI
NOBLE CORP PLC,G65431127,1029592,28489,,NE-WT
API GROUP CORP,00187Y100,1025931,31070,,APG
RF ACQUISITION CORP II,G75389125,1023165,99000,,RFAIR
WASTE MGMT INC DEL,94106L109,1004784,4840,,
HUBSPOT INC,443573100,1002066,1885,,HUBS
BROADRIDGE FINL SOLUTIONS IN,11133T103,997094,4637,,
CANTOR EQUITY PARTNERS INC,G4491L104,991980,99000,,
L3HARRIS TECHNOLOGIES INC,502431109,990015,4162,,
HOWMET AEROSPACE INC,443201108,986460,9840,,HWM
NVENT ELECTRIC PLC,G6700G107,983499,13998,,NVT
NORTHERN TR CORP,665859104,983038,10919,,
LAUDER ESTEE COS INC,518439104,973772,9768,,
INTUIT,461202103,963171,1551,,
ECOLAB INC,278865100,961828,3767,,ECL
MURPHY OIL CORP,626717102,957001,28364,,MUR
CSX CORP,126408103,935970,27106,,CSX
HUNTINGTON BANCSHARES INC,446150104,933715,63518,,
COCA COLA CO,191216100,931018,12956,,KO
SHERWIN WILLIAMS CO,824348106,927458,2430,,SHW
TRUIST FINL CORP,89832Q109,923276,21587,,
HAYNES INTL INC,420877201,914951,15367,,
IDEX CORP,45167R104,899399,4193,,
STERIS PLC,G8473T100,891092,3674,,STE
OSHKOSH CORP,688239201,888562,8867,,OSK
VERALTO CORP,92338C103,887497,7934,,VLTO
STERLING CHECK CORP,85917T109,882916,52806,,
RANGE RES CORP,75281A109,862941,28054,,
THERMO FISHER SCIENTIFIC INC,883556102,850534,1375,,TMO
ZOETIS INC,98978V103,844042,4320,,ZTS
PERMIAN RESOURCES CORP,71424F105,831775,61115,,PR
EDWARDS LIFESCIENCES CORP,28176E108,821180,12444,,EW
PINTEREST INC,72352L106,814721,25169,,
BRADY CORP,104674106,811588,10591,,BRC
AGILENT TECHNOLOGIES INC,00846U101,810998,5462,,
NXP SEMICONDUCTORS N V,N6596X109,809074,3371,,
ADMA BIOLOGICS INC,000899104,801099,40075,,
ELEVANCE HEALTH INC,036752103,796640,1532,,
CAMDEN PPTY TR,133131102,792816,6418,,
CHURCH & DWIGHT CO INC,171340102,768331,7337,,
MULTIPLAN CORPORATION,62548M209,761288,99645,,
WESTLAKE CORPORATION,960413102,751751,5002,,WLK
CAYSON ACQUISITION CORP,G1993W125,751500,75000,,CAPNU
ARISTA NETWORKS INC,040413106,741540,1932,,
ESSEX PPTY TR INC,297178105,733232,2482,,
CRH PLC,G25508105,730884,7881,,
ACI WORLDWIDE INC,004498101,728379,14310,,
MADISON SQUARE GRDN SPRT COR,55825T103,720996,3462,,
NEXTRACKER INC,65290E101,713882,19047,,
GAP INC,364760108,702138,31843,,GAP
S&P GLOBAL INC,78409V104,695371,1346,,SPGI
PROGRESSIVE CORP,743315103,687943,2711,,
BANK OF NT BUTTERFIELD&SON L,G0772R208,676600,18346,,
CENOVUS ENERGY INC,15135U109,674202,40299,,CVE
EQUITABLE HLDGS INC,29452E101,667142,15873,,
FIRST HORIZON CORPORATION,320517105,651623,41959,,FHN-PH
MKS INSTRS INC,55306N104,651173,5990,,
PHILIP MORRIS INTL INC,718172109,650340,5357,,
REZOLVE AI LTD,G75398100,649778,131250,,
GATOS SILVER INC,368036109,647686,42950,,
SPOTIFY TECHNOLOGY S A,L8681T102,643085,1745,,
LPL FINL HLDGS INC,50212V100,634382,2727,,
INDEPENDENT BANK GROUP INC,45384B106,634029,10996,,
ATKORE INC,047649108,632584,7465,,ATKR
SAPIENS INTL CORP N V,G7T16G103,626360,16806,,
TYLER TECHNOLOGIES INC,902252105,626332,1073,,TYL
HEWLETT PACKARD ENTERPRISE C,42824C109,619242,30266,,
BANK AMERICA CORP,060505104,613215,15454,,
TPG RE FIN TR INC,87266M107,608556,71343,,
LIBERTY GLOBAL LTD,G61188101,598933,28372,,LBTYK
MARA HOLDINGS INC,565788106,597967,36866,,
TJX COS INC NEW,872540109,596398,5074,,
MERCK & CO INC,58933Y105,592443,5217,,
HEALTHPEAK PROPERTIES INC,42250P103,590572,25823,,
VERINT SYS INC,92343X100,582387,22992,,
SUPER MICRO COMPUTER INC,86800U104,580878,1395,,
TECHNIPFMC PLC,G87110105,575119,21926,,FTI
MORNINGSTAR INC,617700109,575054,1802,,
CLEANSPARK INC,18452B209,574718,61533,,
AMERICOLD REALTY TRUST INC,03064D108,574249,20313,,
AUTODESK INC,052769106,572447,2078,,
E L F BEAUTY INC,26856L103,562050,5155,,
AMBARELLA INC,G037AX101,562019,9964,,AMBA
SOUTHERN CO,842587107,561551,6227,,SOMN
CAPRI HOLDINGS LIMITED,G1890L107,557449,13135,,
HEALTHSTREAM INC,42222N103,551161,19111,,HSTM
ZOOM VIDEO COMMUNICATIONS IN,98980L101,551085,7902,,
AMERICAN EAGLE OUTFITTERS IN,02553E106,538793,24064,,
WORKDAY INC,98138H101,537946,2201,,
VOYA FINANCIAL INC,929089100,537904,6790,,
KIMBERLY-CLARK CORP,494368103,536965,3774,,
TD SYNNEX CORPORATION,87162W100,530874,4421,,SNX
MOVADO GROUP INC,624580106,527608,28366,,MOVAA
WIX COM LTD,M98068105,526251,3148,,
TRIMBLE INC,896239100,525902,8470,,TRMB
ALLSTATE CORP,020002101,525141,2769,,ALL-PB
AXALTA COATING SYS LTD,G0750C108,513789,14197,,
LEAR CORP,521865204,512459,4695,,LEA
POPULAR INC,733174700,507567,5062,,
PHILLIPS 66,718546104,506083,3850,,PSX
RADWARE LTD,M81873107,504107,22626,,RDWR
OLIN CORP,680665205,503982,10504,,OLN
TELEDYNE TECHNOLOGIES INC,879360105,498495,1139,,TDY
VERISK ANALYTICS INC,92345Y106,497334,1856,,
G III APPAREL GROUP LTD,36237H101,490060,16057,,
GSK PLC,37733W904,490000,500000,CALL,GLAXF
FERRARI N V,N3167Y103,488914,1040,,
AGCO CORP,001084102,483918,4945,,
MICROSOFT CORP,594918104,479785,1115,,MSFT
CHARLES RIV LABS INTL INC,159864107,477849,2426,,
PAGSEGURO DIGITAL LTD,G68707101,475952,55279,,PAGS
HORIZON BANCORP INC,440407104,475053,30550,,
WILLIS TOWERS WATSON PLC LTD,G96629103,466830,1585,,WTW
CEVA INC,157210105,463970,19212,,CEVA
CHAMPION HOMES INC,830830105,459359,4843,,
NORFOLK SOUTHN CORP,655844108,456992,1839,,
COCA-COLA EUROPACIFIC PARTNE,G25839104,455569,5785,,
VISHAY PRECISION GROUP INC,92835K103,453923,17526,,
INTERNATIONAL FLAVORS&FRAGRA,459506101,453822,4325,,
STEELCASE INC,858155203,449325,33308,,
REVANCE THERAPEUTICS INC,761330109,448748,86464,,
FRESH DEL MONTE PRODUCE INC,G36738105,446202,15105,,
PATTERSON-UTI ENERGY INC,703481101,422257,55197,,
OFG BANCORP,67103X102,415330,9246,,OFG
STELLANTIS N.V,N82405106,414489,29501,,STLA
KEYCORP,493267108,407678,24339,,
DAKTRONICS INC,234264109,405735,31428,,
ARDMORE SHIPPING CORP,Y0207T100,390037,21549,,ASC
RITHM CAPITAL CORP,64828T201,388238,34206,,RITM-PD
NOMAD FOODS LTD,G6564A105,387204,20315,,NOMD
ROSS STORES INC,778296103,381242,2533,,
ALPHABET INC,02079K305,380128,2292,,GOOGN
VICI PPTYS INC,925652109,377502,11333,,
CELLEBRITE DI LTD,M2197Q107,375886,22321,,CLBT
ITERIS INC NEW,46564T107,375271,52559,,
DANAHER CORPORATION,235851102,370045,1331,,
CLEAN HARBORS INC,184496107,362807,1501,,CLH
BWX TECHNOLOGIES INC,05605H100,361101,3322,,
DOORDASH INC,25809K105,360679,2527,,
THOMSON REUTERS CORP.,884903808,358089,2099,,
BRIGHT HORIZONS FAM SOL IN D,109194100,355790,2539,,
SPROTT INC,852066208,343448,7930,,SII
TOWER SEMICONDUCTOR LTD,M87915274,340669,7697,,TSEM
INVENTRUST PPTYS CORP,46124J201,338624,11936,,
PAR PAC HOLDINGS INC,69888T207,337814,19194,,
OLD SECOND BANCORP INC ILL,680277100,333080,21365,,
DOLE PLC,G27907107,330785,20306,,DOLE
MUELLER WTR PRODS INC,624758108,326672,15054,,
TOPBUILD CORP,89055F103,326668,803,,
SITE CTRS CORP,82981J851,322768,5335,,
TRIPLE FLAG PRECIOUS METAL,89679M104,320024,19779,,
EDISON INTL,281020107,319620,3670,,
MISSION PRODUCE INC,60510V108,314590,24539,,
VIR BIOTECHNOLOGY INC,92764N102,313764,41891,,
GEOPARK LTD,G38327105,308968,39259,,GPRK
AMEREN CORP,023608102,308297,3525,,AEE
BURLINGTON STORES INC,122017106,308272,1170,,
PEMBINA PIPELINE CORP,706327103,300906,7300,,PMBPF
FIRST FINL BANCORP OH,320209109,299732,11880,,
CELSIUS HLDGS INC,15118V207,298673,9524,,
FIVE9 INC,338307101,296609,10324,,
N-ABLE INC,62878D100,293863,22501,,
BRISTOL-MYERS SQUIBB CO,110122108,292279,5649,,
ADOBE INC,00724F101,291510,563,,ADBE
VULCAN MATLS CO,929160109,290499,1160,,
REINSURANCE GRP OF AMERICA I,759351604,288678,1325,,
PVH CORPORATION,693656100,286256,2839,,
QCR HOLDINGS INC,74727A104,285904,3862,,QCRH
MARTIN MARIETTA MATLS INC,573284106,284734,529,,
THRYV HLDGS INC,886029206,282968,16423,,
GLOBAL SHIP LEASE INC NEW,Y27183600,282543,10602,,
ISHARES TR,464288953,278850,195000,PUT,
LOEWS CORP,540424108,278493,3523,,L
TEEKAY TANKERS LTD,Y8565N300,278202,4776,,TNK
EVOLV TECHNOLOGIES HLDNGS IN,30049H110,277117,731972,,
HAIN CELESTIAL GROUP INC,405217100,276617,32053,,HAIN
KINROSS GOLD CORP,496902404,276588,29550,,KGCRF
BLOCK INC,852234103,275770,4108,,
AMBAC FINL GROUP INC,023139884,273558,24403,,
HACKETT GROUP INC,404609109,273418,10408,,
OKTA INC,679295105,269036,3619,,
BYLINE BANCORP INC,124411109,268824,10042,,
APPLIED MATLS INC,038222105,266302,1318,,
NLIGHT INC,65487K100,263851,24682,,
MSA SAFETY INC,553498106,261577,1475,,MNESP
VIRTUS INVT PARTNERS INC,92828Q109,259090,1237,,
VISHAY INTERTECHNOLOGY INC,928298108,257214,13602,,VSH
VERACYTE INC,92337F107,256900,7547,,
FEDERAL SIGNAL CORP,313855108,255800,2737,,
OMNICELL COM,68213N109,253011,5803,,
NEW YORK TIMES CO,650111107,250014,4491,,NYT
HOLOGIC INC,436440101,249919,3068,,
CATALYST PHARMACEUTICALS INC,14888U101,248500,12500,,
BENCHMARK ELECTRS INC,08160H101,246685,5566,,
FLUSHING FINL CORP,343873105,246679,16919,,
CANADIAN NATL RY CO,136375102,246132,2101,,
IRADIMED CORP,46266A109,245918,4890,,IRMD
PHREESIA INC,71944F106,244354,10722,,
BIOMARIN PHARMACEUTICAL INC,09061G101,239267,3404,,BMRN
AUTOLIV INC,052800109,238280,2552,,ALV
CINEMARK HLDGS INC,17243V102,237587,8534,,
AMICUS THERAPEUTICS INC,03152W109,235782,22077,,
QORVO INC,74736K101,235214,2277,,
GALLAGHER ARTHUR J & CO,363576109,234381,833,,
HEALTHCARE RLTY TR,42226K105,231685,12765,,
SEMRUSH HLDGS INC,81686C104,231251,14720,,
BRAZE INC,10576N102,229582,7099,,
AERIES TECHNOLOGY INC,G0136H102,228970,99682,,
JACOBS SOLUTIONS INC,46982L108,228421,1745,,J
REXFORD INDL RLTY INC,76169C100,228055,4533,,
MINERALS TECHNOLOGIES INC,603158106,226052,2927,,MTX
BIOGEN INC,09062X103,224854,1160,,BIIB
PBF ENERGY INC,69318G106,224388,7250,,PBF
DOCEBO INC,25609L105,223829,5064,,DCBO
APPFOLIO INC,03783C100,222218,944,,APPF
FLEX LTD,Y2573F102,220671,6601,,FLEX
NETSCOUT SYS INC,64115T104,219458,10090,,
WARRIOR MET COAL INC,93627C101,218155,3414,,
CENTENE CORP DEL,15135B101,217936,2895,,CNC
ARROW ELECTRS INC,042735100,216911,1633,,
SPROUT SOCIAL INC,85209W109,216397,7444,,
FEDERAL RLTY INVT TR NEW,313745101,214419,1865,,
WEST PHARMACEUTICAL SVSC INC,955306105,214014,713,,
CCC INTELLIGENT SOLUTIONS HL,12510Q100,213232,19297,,
CABLE ONE INC,12685J105,212672,608,,
AMERICAN AXLE & MFG HLDGS IN,024061103,208896,33802,,
KLA CORP,482480100,206767,267,,KLAC
TARGA RES CORP,87612G101,206622,1396,,
REGENCY CTRS CORP,758849103,205350,2843,,
ATLANTA BRAVES HLDGS INC,047726302,202542,5089,,
UPBOUND GROUP INC,76009N100,201057,6285,,
MRC GLOBAL INC,55345K103,200477,15736,,
TRIPADVISOR INC,896945201,199991,13802,,
HIMS & HERS HEALTH INC,433000106,199673,10840,,
STONERIDGE INC,86183P102,198097,17703,,SRI
MONDELEZ INTL INC,609207105,197067,2675,,
ANALOG DEVICES INC,032654105,194724,846,,ADI
AMETEK INC,031100100,194204,1131,,
COMMUNITY HEALTHCARE TR INC,20369C106,191355,10543,,
PAYCOR HCM INC,70435P102,190586,13431,,
BIO RAD LABS INC,090572207,190376,569,,
GARRETT MOTION INC,366505105,186079,22748,,GTX
TWILIO INC,90138F102,184507,2829,,TWLO
GENERAL DYNAMICS CORP,369550108,182227,603,,GD
ADC THERAPEUTICS SA,H0036K147,175650,55762,,ADCT
EVERCORE INC,29977A105,173538,685,,EVR
NEWTEKONE INC,652526203,171350,13752,,
COINBASE GLOBAL INC,19260Q107,170331,956,,
LENDINGCLUB CORP,52603A208,170204,14891,,
ACCEL ENTERTAINMENT INC,00436Q106,169954,14626,,
YEXT INC,98585N106,169685,24521,,
ONTO INNOVATION INC,683344105,168539,812,,ONTO
MOHAWK INDS INC,608190104,166625,1037,,
ZEBRA TECHNOLOGIES CORPORATI,989207105,159238,430,,
TELEFLEX INCORPORATED,879369106,157790,638,,
UNION PAC CORP,907818108,153311,622,,
UPSTART HLDGS INC,91680M107,144676,3616,,
TEXAS ROADHOUSE INC,882681109,144635,819,,
REGENXBIO INC,75901B107,142695,13603,,RGNX
LINEAGE INC,53566V106,140849,1797,,
CELLDEX THERAPEUTICS INC NEW,15117B202,137693,4051,,
SEADRILL 2021 LTD,G7997W102,136586,3437,,
BIOCRYST PHARMACEUTICALS INC,09058V103,136253,17928,,BCRX
YETI HLDGS INC,98585X104,136220,3320,,
TAPESTRY INC,876030107,131168,2792,,
NEW FORTRESS ENERGY INC,644393100,130351,14340,,NFE
CUBESMART,229663109,129031,2397,,CUBE
HALLIBURTON CO,406216101,127617,4393,,HAL
MP MATERIALS CORP,553368101,126374,7160,,
CARLISLE COS INC,142339100,122782,273,,
MOSAIC CO NEW,61945C103,121153,4524,,MOS
MISTER CAR WASH INC,60646V105,117675,18076,,
PFIZER INC,717081103,116918,4040,,PFE
CONSOLIDATED COMM HLDGS INC,209034107,115893,24977,,
VARONIS SYS INC,922280102,115260,2040,,
RIOT PLATFORMS INC,767292105,115077,15509,,
SENSATA TECHNOLOGIES HLDG PL,G8060N102,114393,3190,,
KENNEDY-WILSON HOLDINGS INC,489398107,114191,10334,,
NOV INC,62955J103,113834,7128,,NOV
VISTEON CORP,92839U206,111336,1169,,VC
AMERICAN INTL GROUP INC,026874784,110358,1507,,
STANLEY BLACK & DECKER INC,854502101,108478,985,,
CENTERRA GOLD INC,152006102,106972,14900,,CGAU
FIRST INDL RLTY TR INC,32054K103,106530,1903,,
INTERPUBLIC GROUP COS INC,460690100,105075,3322,,
OWENS CORNING NEW,690742101,101146,573,,OC
ZURA BIO LTD,G50752107,100797,24827,,ZURA
ASHLAND INC,044186104,99407,1143,,ASH
THERAVANCE BIOPHARMA INC,G8807B106,98195,12183,,
MARKETAXESS HLDGS INC,57060D108,96331,376,,
SM ENERGY CO,78454L100,95608,2392,,SM
HUDSON TECHNOLOGIES INC,444144109,91465,10967,,
ZUORA INC,98983V106,90881,10543,,
ACCO BRANDS CORP,00081T108,89954,16445,,ACCO
PACKAGING CORP AMER,695156109,88314,410,,
PREMIER FINANCIAL CORP,74052F108,86735,3694,,
XP INC,G98239109,85143,4746,,XP
MAGNOLIA OIL & GAS CORP,559663109,81441,3335,,MGY
FORTREA HLDGS INC,34965K107,81300,4065,,
UDR INC,902653104,80887,1784,,
ROCKWELL AUTOMATION INC,773903109,80001,298,,
ICON PLC,G4705A100,79585,277,,ICLR
CROSSFIRST BANKSHARES INC,22766M109,79077,4738,,
INFORMATICA INC,45674M101,75916,3003,,
BROOKDALE SR LIVING INC,112463104,74242,10934,,
TG THERAPEUTICS INC,88322Q108,73983,3163,,
WELLTOWER INC,95040Q104,70801,553,,WELL
LIBERTY ENERGY INC,53115L104,70595,3698,,LBRT
HF SINCLAIR CORP,403949100,68326,1533,,DINO
DOXIMITY INC,26622P107,67534,1550,,
MOTOROLA SOLUTIONS INC,620076307,67445,150,,
BIGCOMMERCE HLDGS INC,08975P108,67398,11521,,
TRISALUS LIFE SCIENCES INC,89680M101,65610,14232,,
ROCKET COS INC,77311W101,64843,3379,,
MARKEL GROUP INC,570535104,64312,41,,MKL
INTELLIA THERAPEUTICS INC,45826J105,59842,2912,,
AMCOR PLC,G0250X107,59097,5216,,AMCCF
ABBOTT LABS,002824100,58715,515,,
AFFIRM HLDGS INC,00827B106,58495,1433,,
VOLATO GROUP INC,74349W104,57230,154101,,
BIOHAVEN LTD,G1110E107,56766,1136,,BHVN
AMENTUM HOLDINGS INC,023939101,56276,1745,,
VALMONT INDS INC,920253101,55670,192,,
BARK INC,68622E112,54010,600114,,
TIDEWATER INC NEW,88642R109,52981,738,,TDGMW
SHAKE SHACK INC,819047101,52327,507,,SHAK
INVITATION HOMES INC,46187W107,50104,1421,,INVH
MICRON TECHNOLOGY INC,595112103,49781,480,,MU
EVOLV TECHNOLOGIES HLDNGS IN,30049H102,48705,146587,,
INTUITIVE SURGICAL INC,46120E602,45688,93,,ISRG
