name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
OCCIDENTAL PETE CORP,674599105,16118698139,248018128,,
KRAFT HEINZ CO,500754106,12015924784,325634818,,KHC
CHUBB LIMITED,H1467J104,6717644659,25923840,,
CHEVRON CORP NEW,166764100,2770545518,17564001,,CVX
DAVITA INC,23918K108,2427207248,17582088,,DVA
VISA INC,92826C839,2315655137,8297460,,V
MASTERCARD INC,57636Q104,1919850077,3986648,,MA
AMAZON COM INC,023135106,1393255120,7724000,,AMZN
NU HLDGS LTD,G6683N103,1277927093,107118784,,
CHARTER COMMUNICATIONS INC N,16119P108,1112805123,3828941,,
SNOWFLAKE INC,833445109,989860762,6125376,,SNOW
KROGER CO,501044101,948763052,16607090,,KR
VERISIGN INC,92343E102,930519115,4910132,,
AON PLC,G0403H108,768890880,2304000,,AON
ALLY FINL INC,02005N100,516291608,12719675,,
LIBERTY MEDIA CORP DEL,531229789,439063947,14778322,,FWONB
FLOOR & DECOR HLDGS INC,339750101,272850100,2105000,,
AMERICAN EXPRESS CO,025816109,261830294,1149942,,AXP
LIBERTY MEDIA CORP DEL,531229854,245129488,3736730,,FWONB
CITIGROUP INC,172967424,230509800,3645000,,C-PR
LOUISIANA PAC CORP,546347105,189052419,2253038,,
LIBERTY MEDIA CORP DEL,531229722,168904672,3854511,,FWONB
CAPITAL ONE FINL CORP,14040H105,148890000,1000000,,
BANK AMER CORP,060505104,148646400,3920000,,
SIRIUS XM HOLDINGS INC,82968B103,142325819,36681912,,SIRI
LIBERTY MEDIA CORP DEL,531229813,127951075,4308117,,FWONB
APPLE INC,037833100,118664160,692000,,AAPL
T-MOBILE US INC,872590104,93035400,570000,,
NVR INC,62944T105,90006756,11112,,NVR
COCA COLA CO,191216100,48944000,800000,,KO
PARAMOUNT GLOBAL,92556H206,46566699,3956389,,
LIBERTY MEDIA CORP DEL,531229748,45612136,1077028,,FWONB
DIAGEO P L C,25243Q205,33875535,227750,,
MOODYS CORP,615369105,28337463,72100,,
LENNAR CORP,526057302,23523551,152572,,
VANGUARD INDEX FDS,922908363,20670100,43000,,
SPDR S&P 500 ETF TR,78462F103,20608958,39400,,
JEFFERIES FINL GROUP INC,47233W109,19119908,433558,,
LIBERTY LATIN AMERICA LTD,G9001E128,8975300,1284020,,LILAP
LIBERTY LATIN AMERICA LTD,G9001E102,7009081,1005607,,LILAP
ATLANTA BRAVES HLDGS INC,047726302,4226956,108217,,
