name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
ISHARES TR,464287184,758215,29320000,CALL,
ISHARES TR,464288513,624663,8750000,PUT,
BOSTON SCIENTIFIC CORP,101137107,560273,14466112,,BSX
SPDR S&P 500 ETF TR,78462F103,546485,1530000,PUT,
APPLE INC,037833100,525409,3801800,PUT,AAPL
PLUG PWR INC,72919PAD5,498493,118542000,,
JOHNSON CTLS INTL PLC,G51502105,360806,7330473,,
WELLS FARGO CO NEW,949746101,349000,8677278,,
LIVENT CORP,53814LAB4,331057,91891000,,
LOWES COS INC,548661107,312122,1661902,,
INVESCO QQQ TR,46090E103,310022,1160000,CALL,
ISHARES TR,464287655,298670,1811000,PUT,
RESMED INC,761152107,292587,1340299,,RSMDF
MERCK & CO INC,58933Y105,285656,3316958,,
HCA HEALTHCARE INC,40412C101,272350,1481855,,
ZOOMINFO TECHNOLOGIES INC,98980F104,270345,6489325,,GTM
M & T BK CORP,55261F104,261792,1484753,,
ISHARES TR,464287432,261248,2550000,CALL,
WORKDAY INC,98138H101,259570,1705231,,
SYNOPSYS INC,871607107,256105,838286,,SNPS
ILLUMINA INC,452327109,247097,1295124,,
AUTOMATIC DATA PROCESSING IN,053015103,238149,1052871,,
ZIMMER BIOMET HOLDINGS INC,98956P102,229904,2198986,,
WORLD WRESTLING ENTMT INC,98156QAB4,222629,78253000,,
COLGATE PALMOLIVE CO,194162103,217814,3100557,,CL
SBA COMMUNICATIONS CORP NEW,78410G104,207635,729439,,SBAC
TWITTER INC,90184L102,197964,4515600,CALL,
CARRIER GLOBAL CORPORATION,14448C104,193405,5438848,,CARR
COSTAR GROUP INC,22160N109,192613,2765435,,
APOLLO GLOBAL MGMT INC,03769M106,192393,4137490,,
LIBERTY MEDIA CORP DEL,531229AB8,188434,154792000,,FWONB
PUBLIC SVC ENTERPRISE GRP IN,744573106,184758,3285763,,
ISHARES TR,464287440,182381,1900000,CALL,
GARTNER INC,366651107,178751,646033,,IT
AUTOZONE INC,053332102,176431,82370,,AZO
ISHARES TR,464287242,175005,1708200,PUT,
ON SEMICONDUCTOR CORP,682189105,164636,2641357,,ON
PERFORMANCE FOOD GROUP CO,71377A103,163745,3812448,,PFGC
MONGODB INC,60937PAD8,160810,137652000,,
AGCO CORP,001084102,153390,1594989,,
DYNATRACE INC,268150109,152760,4388387,,
AMETEK INC,031100100,151812,1338613,,
MCKESSON CORP,58155Q103,148612,437260,,MCK
CONAGRA BRANDS INC,205887102,147896,4532531,,CAG
ROPER TECHNOLOGIES INC,776696106,147421,409914,,ROP
REPUBLIC SVCS INC,760759100,146612,1077716,,
FORTIVE CORP,34959J108,145168,2490015,,FTV
MOTOROLA SOLUTIONS INC,620076307,142840,637762,,
ROSS STORES INC,778296103,136381,1618379,,
MATTEL INC,577081102,133031,7023789,,
NIKE INC,654106103,129978,1563740,,
ENVISTA HOLDINGS CORPORATION,29415F104,129513,3947360,,NVST
UNITED THERAPEUTICS CORP DEL,91307C102,128667,614512,,UTHR
LI AUTO INC,50202MAB8,127103,122693000,,LAAOF
EXELON CORP,30161N101,125978,3362996,,EXC
SEA LTD,81141RAF7,121891,121057000,,SE
VENTYX BIOSCIENCES INC,92332V107,121178,3471164,,
HUBSPOT INC,443573AD2,119978,101050000,,HUBS
DAVITA INC,23918K108,118905,1436571,,DVA
FACTSET RESH SYS INC,303075105,118750,296794,,
RH,74967X103,118630,482100,PUT,RH
ISHARES TR,464288661,114280,1000000,CALL,
PINDUODUO INC,722304AB8,113402,73867000,,
SENTINELONE INC,81730H109,113131,4426081,,
PALO ALTO NETWORKS INC,697435105,111213,679000,PUT,PANW
PFIZER INC,717081103,106956,2444155,,PFE
BOOKING HOLDINGS INC,09857L108,106554,64845,,BKNG
COCA-COLA EUROPACIFIC PARTNE,G25839104,104740,2457522,,
LATTICE SEMICONDUCTOR CORP,518415104,100629,2044879,,LSCC
NICE LTD,653656108,100132,531936,,NCSYF
MASTERCARD INCORPORATED,57636Q104,99749,350809,,
WINTRUST FINL CORP,97650W108,98043,1202244,,
DUPONT DE NEMOURS INC,26614N102,97494,1934403,,
CNH INDL N V,N20944109,97317,8712312,,
LI AUTO INC,50202M102,97125,4221000,PUT,LAAOF
VISA INC,92826C839,96391,542591,,V
NATERA INC,632307104,94778,2162884,,
KBR INC,48242WAB2,94169,54250000,,
NORTONLIFELOCK INC,668771108,92682,4601868,,
DATADOG INC,23804LAB9,92656,77707000,,
R1 RCM INC,77634L105,92525,4993275,,
ALCOA CORP,013872106,92437,2746200,PUT,AA
NVR INC,62944T105,90650,22736,,NVR
QUIDELORTHO CORP,219798105,90471,1265686,,QDEL
