name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
OCCIDENTAL PETE CORP,674599105,11942909,194351650,,
KRAFT HEINZ CO,500754106,10859921,325634818,,KHC
ACTIVISION BLIZZARD INC,00507V109,1906458,25645116,,
VISA INC,92826C839,1474044,8297460,,V
DAVITA INC,23918K108,1455269,17582088,,DVA
CHARTER COMMUNICATIONS INC N,16119P108,1161509,3828941,,
MASTERCARD INC,57636Q104,1133563,3986648,,MA
SNOWFLAKE INC,833445109,1041069,6125376,,SNOW
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1004343,14649113,,
AMAZON COM INC,023135106,948070,8390000,,AMZN
VERISIGN INC,92343E102,852890,4910132,,
KROGER CO,501044101,738321,16875913,,KR
AON PLC,G0403H108,696462,2600000,,AON
LIBERTY MEDIA CORP DELAWARE,531229607,557291,14778322,,
MCKESSON CORP,58155Q103,475818,1400000,,MCK
NU HLDGS LTD,G6693N103,471323,107118784,,
ALLY FINL INC,02005N100,381819,13719675,,
RH,74967X103,286179,1163000,,RH
LIBERTY MEDIA CORP DEL,531229854,218599,3736730,,FWONB
LIBERTY MEDIA CORP DELAWARE,531229409,164010,4308117,,
GENERAL MTRS CO,37045V100,159455,4969000,,
AMERICAN EXPRESS CO,025816109,155139,1149942,,AXP
CITIGROUP INC,172967424,151887,3645000,,C-PR
BANK OF NEW YORK MELLON CORP,064058100,151671,3937474,,BNY-PK
FLOOR & DECOR HLDGS INC,339750101,147897,2105000,,
HP INC,40434L105,145782,5850000,,HPQ
LOUISIANA PAC CORP,546347105,138213,2700000,,
CHEVRON CORP NEW,166764100,125999,877000,,CVX
BANK AMER CORP,060505104,118384,3920000,,
PARAMOUNT GLOBAL,92556H206,112079,5886500,,
STONECO LTD,G85158106,101928,10695448,,STNE
CELANESE CORP DEL,150870103,99555,1102000,,CE
APPLE INC,037833100,95634,692000,,AAPL
T-MOBILE US INC,872590104,76477,570000,,
MARSH & MCLENNAN COS INC,571748102,60449,404911,,
JOHNSON & JOHNSON,478160104,53435,327100,,JNJ
COCA COLA CO,191216100,44816,800000,,KO
PROCTER & GAMBLE CO,742718109,39819,315400,,PG
MARKEL CORP,570535104,38761,35750,,
MONDELEZ INTL INC,609207105,31692,578000,,
US BANCORP DEL,902973304,23800,590275,,
GLOBE LIFE INC,37959E102,21278,213424,,GL-PD
MOODYS CORP,615369105,17528,72100,,
VANGUARD INDEX FDS,922908363,14117,43000,,
SPDR S&P 500 ETF TR,78462F103,14073,39400,,
JEFFERIES FINL GROUP INC,47233W109,12790,433558,,
UNITED PARCEL SERVICE INC,911312106,9595,59400,,UPS
LIBERTY LATIN AMERICA LTD,G9001E128,7897,1284020,,LILAP
LIBERTY LATIN AMERICA LTD,G9001E102,6225,1005607,,LILAP
