name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
APPLE INC,037833100,5892109,41640343,,AAPL
SPDR S&P 500 ETF TR,78462F103,5372293,12518742,,
MICROSOFT CORP,594918104,5267110,18682994,,MSFT
FLEXSHARES TR,33939L407,3473008,94890941,,
AMAZON COM INC,023135106,3233935,984443,,AMZN
ALPHABET INC,02079K107,2117338,794406,,GOOGN
ALPHABET INC,02079K305,1986883,743171,,GOOGN
VANGUARD INDEX FDS,922908769,1985296,8940359,,
FACEBOOK INC,30303M102,1812223,5339648,,
JPMORGAN CHASE & CO,46625H100,1665209,10172943,,JPM-PM
ISHARES TR,464287465,1614610,20697480,,
FLEXSHARES TR,33939L795,1540565,27618593,,
VANGUARD TAX-MANAGED INTL FD,921943858,1359458,26925286,,
HOME DEPOT INC,437076102,1260914,3841206,,
VANGUARD INTL EQUITY INDEX F,922042775,1170237,19196797,,
JOHNSON & JOHNSON,478160104,1166063,7220204,,JNJ
FLEXSHARES TR,33939L100,1148997,6806855,,
NVIDIA CORPORATION,67066G104,1121313,5412785,,NVDA
VANGUARD INTL EQUITY INDEX F,922042858,1112230,22240158,,
PROCTER AND GAMBLE CO,742718109,1098804,7859826,,
TESLA INC,88160R101,1051271,1355639,,
UNITEDHEALTH GROUP INC,91324P102,991262,2536883,,UNH
ISHARES TR,464287614,971319,3544442,,
SALESFORCE COM INC,79466L302,922683,3401972,,
BERKSHIRE HATHAWAY INC DEL,084670702,918746,3366109,,BRK-A
ABBOTT LABS,002824100,909417,7698444,,
VISA INC,92826C839,885566,3975603,,V
ACCENTURE PLC IRELAND,G1151C101,870840,2722054,,
DISNEY WALT CO,254687106,850432,5027083,,
MASTERCARD INCORPORATED,57636Q104,838494,2411684,,
ADOBE SYSTEMS INCORPORATED,00724F101,830710,1442906,,
NIKE INC,654106103,747715,5148491,,
DANAHER CORPORATION,235851102,741813,2436648,,
ISHARES TR,464287655,726624,3321711,,
CISCO SYS INC,17275R102,704905,12950662,,
COSTCO WHSL CORP NEW,22160K105,704617,1568081,,
PAYPAL HLDGS INC,70450Y103,691681,2658163,,
MCDONALDS CORP,580135101,672688,2789963,,MCD
ISHARES TR,464287507,672605,2556754,,
PEPSICO INC,713448108,666192,4429172,,PEP
ISHARES TR,464287200,644472,1495919,,
PFIZER INC,717081103,617538,14358007,,PFE
BK OF AMERICA CORP,060505104,612660,14432506,,
FLEXSHARES TR,33939L860,607983,10925116,,
ABBVIE INC,00287Y109,605526,5613483,,ABBV
ISHARES TR,464287499,604791,7731925,,
TEXAS INSTRS INC,882508104,603014,3137265,,
STARBUCKS CORP,855244109,602567,5462487,,SBUX
ISHARES TR,464288372,598136,13031286,,
MERCK & CO INC,58933Y105,578476,7701722,,
LILLY ELI & CO,532457108,578376,2503251,,
EXXON MOBIL CORP,30231G102,571893,9722759,,
ISHARES TR,464287804,568122,5203060,,
COMCAST CORP NEW,20030N101,567172,10140755,,CCZ
VERIZON COMMUNICATIONS INC,92343V104,566730,10493063,,VZ
INTEL CORP,458140100,565996,10623047,,INTC
NETFLIX INC,64110L106,565940,927253,,NFLX
CHEVRON CORP NEW,166764100,558239,5502605,,CVX
BLACKROCK INC,09247X101,534834,637725,,
SPDR S&P MIDCAP 400 ETF TR,78467Y107,529843,1101820,,
ORACLE CORP,68389X105,520118,5969449,,ORCL-PD
