name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
APPLE INC,037833100,46812958,264351901,,AAPL
MICROSOFT CORP,594918104,43313705,129107118,,MSFT
AMAZON.COM INC,023135106,23917115,7193360,,
ALPHABET INC-CL A,02079K305,15381257,5322633,,
TESLA INC,88160R101,14302749,13571554,,
META PLATFORMS INC-CLASS A,30303M102,13629910,40627257,,
ALPHABET INC-CL C,02079K107,13474847,4669682,,
NVIDIA CORP,67066G104,12287340,41888133,,NVDA
BERKSHIRE HATHAWAY INC-CL B,084670702,8945191,29991238,,
UNITEDHEALTH GROUP INC,91324P102,7821210,15618069,,UNH
JOHNSON & JOHNSON,478160104,7576867,44405610,,JNJ
JPMORGAN CHASE & CO,46625H100,7548705,47806506,,JPM-PM
PROCTER & GAMBLE CO/THE,742718109,7090497,43444122,,
HOME DEPOT INC,437076102,7002662,16921581,,
VISA INC-CLASS A SHARES,92826C839,6416486,29682215,,
PFIZER INC,717081103,5952333,101065073,,PFE
MASTERCARD INC - A,57636Q104,5429311,15148167,,
BANK OF AMERICA CORP,060505104,5210264,117441970,,
ADOBE INC,00724F101,4863475,8597416,,ADBE
CISCO SYSTEMS INC,17275R102,4623101,73136734,,
BROADCOM INC,11135F101,4518636,6809021,,AVGO
WALT DISNEY CO,254687106,4448175,28802702,,DIS
ACCENTURE PLC-CL A,G1151C101,4434616,10724559,,
EXXON MOBIL CORP,30231G102,4322078,70815006,,
NETFLIX INC,64110L106,4320858,7192197,,NFLX
THERMO FISHER SCIENTIFIC INC,883556102,4261136,6403805,,TMO
COSTCO WHOLESALE CORP,22160K105,4173133,7372449,,
COCA-COLA CO/THE,191216100,4102043,69443905,,
ELI LILLY & CO,532457108,4059130,14731168,,LLY
INTEL CORP,458140100,4013364,78100727,,INTC
PEPSICO INC,713448108,4008329,23137438,,PEP
COMCAST CORP-CLASS A,20030N101,3992896,79539982,,
ABBOTT LABORATORIES,002824100,3915982,27906282,,ABT
SALESFORCE.COM INC,79466L302,3914460,15448821,,
ABBVIE INC,00287Y109,3850573,28518946,,ABBV
VERIZON COMMUNICATIONS INC,92343V104,3792626,73174424,,VZ
CHEVRON CORP,166764100,3776323,32250237,,CVX
MERCK & CO. INC.,58933Y105,3682009,48153283,,
PAYPAL HOLDINGS INC,70450Y103,3608177,19184985,,
NIKE INC -CL B,654106103,3564786,21444116,,
WALMART INC,931142103,3496676,24239022,,WMT
DANAHER CORP,235851102,3457729,10539950,,
MCDONALD'S CORP,580135101,3435310,12846007,,
QUALCOMM INC,747525103,3410285,18698509,,
TEXAS INSTRUMENTS INC,882508104,3368472,17910932,,TXN
WELLS FARGO & CO,949746101,3167331,66180737,,
INTUIT INC,461202103,3158032,4922658,,INTU
AT&T INC,00206R102,3023357,123218974,,T-PC
NEXTERA ENERGY INC,65339F101,2971390,31922835,,NEE-PS
ADVANCED MICRO DEVICES,007903107,2853395,19885441,,
LINDE PLC,G5494J103,2821287,8167370,,LIN
LOWE'S COS INC,548661107,2816443,10925641,,
APPLIED MATERIALS INC,038222105,2671813,17016315,,
UNION PACIFIC CORP,907818108,2616574,10413195,,UNP
PHILIP MORRIS INTERNATIONAL,718172109,2590702,27333383,,
AMERICAN TOWER CORP,03027X100,2531637,8675143,,
UNITED PARCEL SERVICE-CL B,911312106,2443951,11435714,,
HONEYWELL INTERNATIONAL INC,438516106,2388336,11484615,,HON
STARBUCKS CORP,855244109,2385035,20440456,,SBUX
ORACLE CORP,68389X105,2376988,27324248,,ORCL-PD
BRISTOL-MYERS SQUIBB CO,110122108,2354737,37863099,,
MORGAN STANLEY,617446448,2334943,23850965,,MS-PQ
MEDTRONIC PLC,G5960L103,2320796,22494541,,MDT
PROLOGIS INC,74340W103,2300903,13702145,,
AMGEN INC,031162100,2295704,10227791,,AMGN
INTUITIVE SURGICAL INC,46120E602,2288520,6385862,,ISRG
CVS HEALTH CORP,126650100,2273690,22099200,,CVS
GOLDMAN SACHS GROUP INC,38141G104,2207799,5786188,,GS-PD
ZOETIS INC,98978V103,2120301,8710236,,ZTS
BLACKROCK INC,09247X101,2099650,2300304,,
S&P GLOBAL INC,78409V104,2077459,4412376,,SPGI
SCHWAB (CHARLES) CORP,808513105,2038366,24307246,,
CITIGROUP INC,172967424,2033390,33753519,,C-PR
RAYTHEON TECHNOLOGIES CORP,75513E101,2031633,23677266,,
INTL BUSINESS MACHINES CORP,459200101,2001895,15018006,,
AUTOMATIC DATA PROCESSING,053015103,1999845,8128167,,
SERVICENOW INC,81762P102,1995048,3082765,,
ANTHEM INC,036752103,1929914,4174578,,
3M CO,88579Y101,1910601,10780080,,MMM
TARGET CORP,87612E106,1890357,8187017,,TGT
CATERPILLAR INC,149123101,1776940,8619170,,CAT
MICRON TECHNOLOGY INC,595112103,1774409,19100382,,MU
CROWN CASTLE INTL CORP,22822V101,1758348,8441732,,
BOEING CO/THE,097023105,1729452,8616520,,
LAM RESEARCH CORP,512807108,1671430,2330235,,LRCX
GENERAL ELECTRIC CO,369604301,1664776,17674014,,GE
GILEAD SCIENCES INC,375558103,1647123,22739179,,
CONOCOPHILLIPS,20825C104,1631930,22672355,,COP
AMERICAN EXPRESS CO,025816109,1603735,9833314,,AXP
BOOKING HOLDINGS INC,09857L108,1591171,665085,,BKNG
ANALOG DEVICES INC,032654105,1548089,8832559,,ADI
MONDELEZ INTERNATIONAL INC-A,609207105,1544557,23361172,,
MODERNA INC,60770K107,1527786,6032463,,
DEERE & CO,244199105,1517347,4438733,,DE
EQUINIX INC,29444U700,1509133,1788493,,EQIX
LOCKHEED MARTIN CORP,539830109,1480411,4175390,,LMT
MARSH & MCLENNAN COS,571748102,1478000,8525869,,
TJX COMPANIES INC,872540109,1443489,19071010,,
CME GROUP INC,12572Q105,1443117,6331278,,CME
ALTRIA GROUP INC,02209S103,1437087,30391914,,
EDWARDS LIFESCIENCES CORP,28176E108,1434219,11099842,,EW
CSX CORP,126408103,1407138,37512305,,CSX
CHUBB LTD,H1467J104,1399853,7261364,,CB
STRYKER CORP,863667101,1393901,5227951,,SYK
FORD MOTOR CO,345370860,1387115,66975441,,F-PD
PNC FINANCIAL SERVICES GROUP,693475105,1374503,6874797,,
DUKE ENERGY CORP,26441C204,1364219,13041850,,DUK-PA
ESTEE LAUDER COMPANIES-CL A,518439104,1347667,3651707,,
CHARTER COMMUNICATIONS INC-A,16119P108,1329791,2045440,,
GENERAL MOTORS CO,37045V100,1328077,22718943,,GM
