name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
APPLE INC,037833100,37973295,278256192,,AAPL
MICROSOFT CORP,594918104,35110999,136945361,,MSFT
AMAZON.COM INC,023135106,16113129,152022631,,
ALPHABET INC-CL A,02079K305,12308875,5658480,,
ALPHABET INC-CL C,02079K107,10611988,4861278,,
TESLA INC,88160R101,9912563,14750127,,
BERKSHIRE HATHAWAY INC-CL B,084670702,8417524,30883157,,
UNITEDHEALTH GROUP INC,91324P102,8375948,16336712,,UNH
JOHNSON & JOHNSON,478160104,8276361,46707507,,JNJ
META PLATFORMS INC-CLASS A,30303M102,6865511,42657115,,
NVIDIA CORP,67066G104,6739235,44538612,,NVDA
PROCTER & GAMBLE CO/THE,742718109,6553533,45649954,,
EXXON MOBIL CORP,30231G102,6331916,74046323,,
VISA INC-CLASS A SHARES,92826C839,6109330,31080706,,
PFIZER INC,717081103,5683862,108582838,,PFE
JPMORGAN CHASE & CO,46625H100,5527628,49183010,,JPM-PM
HOME DEPOT INC,437076102,5324382,19444756,,
ELI LILLY & CO,532457108,5087276,15717311,,LLY
CHEVRON CORP,166764100,5054747,34961798,,CVX
MASTERCARD INC - A,57636Q104,4951966,15723538,,
COCA-COLA CO/THE,191216100,4609716,73395272,,
ABBVIE INC,00287Y109,4599025,30081427,,ABBV
MERCK & CO. INC.,58933Y105,4186245,45994668,,
PEPSICO INC,713448108,4131114,24834441,,PEP
VERIZON COMMUNICATIONS INC,92343V104,3941406,77788479,,VZ
COSTCO WHOLESALE CORP,22160K105,3801549,7947099,,
BANK OF AMERICA CORP,060505104,3709840,119403467,,
THERMO FISHER SCIENTIFIC INC,883556102,3600121,6640467,,TMO
BROADCOM INC,11135F101,3515064,7248023,,AVGO
ADOBE INC,00724F101,3356728,9184982,,ADBE
MCDONALD'S CORP,580135101,3291570,13353765,,
ABBOTT LABORATORIES,002824100,3188716,29407281,,ABT
COMCAST CORP-CLASS A,20030N101,3180568,81188120,,
CISCO SYSTEMS INC,17275R102,3175720,74607001,,
ACCENTURE PLC-CL A,G1151C101,3030268,10933097,,
INTEL CORP,458140100,2987171,79981909,,INTC
WALMART INC,931142103,2969728,24478149,,WMT
TEXAS INSTRUMENTS INC,882508104,2964168,19319911,,TXN
BRISTOL-MYERS SQUIBB CO,110122108,2922243,38015832,,
PHILIP MORRIS INTERNATIONAL,718172109,2881602,29228214,,
WALT DISNEY CO/THE,254687106,2871633,30484736,,
DANAHER CORP,235851102,2808228,11100164,,
AT&T INC,00206R102,2742031,131026808,,T-PC
SALESFORCE INC,79466L302,2728874,16569006,,
AMERICAN TOWER CORP,03027X100,2623124,10277417,,
WELLS FARGO & CO,949746101,2601593,66534939,,
AMGEN INC,031162100,2598697,10698006,,AMGN
LINDE PLC,G5494J103,2592761,9033905,,LIN
NEXTERA ENERGY INC,65339F101,2527996,32706183,,NEE-PS
QUALCOMM INC,747525103,2493588,19555218,,
RAYTHEON TECHNOLOGIES CORP,75513E101,2382715,24841857,,
MEDTRONIC PLC,G5960L103,2377254,26531783,,MDT
NIKE INC -CL B,654106103,2312594,22664922,,
UNION PACIFIC CORP,907818108,2268882,10658746,,UNP
UNITED PARCEL SERVICE-CL B,911312106,2238712,12288757,,
INTL BUSINESS MACHINES CORP,459200101,2161301,15336206,,
ADVANCED MICRO DEVICES,007903107,2160083,28305180,,
CVS HEALTH CORP,126650100,2144939,23188133,,CVS
HONEYWELL INTERNATIONAL INC,438516106,2073021,11949491,,HON
S&P GLOBAL INC,78409V104,2068685,6149380,,SPGI
CONOCOPHILLIPS,20825C104,2066918,23048188,,COP
ELEVANCE HEALTH INC,036752103,1990273,4131827,,
ORACLE CORP,68389X105,1954388,28017122,,ORCL-PD
