name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
INVESCO  QQQ  TR,46090E103,664497,3519400,PUT,
SPDR  S&P   500  ETF  TR,78462F103,429337,1446700,PUT,
CELGENE    CORP,151020104,414060,4169794,,
ALLERGAN     PLC,G0177J108,411088,2442736,,
LOWES   COS   INC,548661107,332717,3025801,,
L3HARRIS       TECHNOLOGIES        INC,502431109,287551,1378220,,
APPLE   INC,037833100,274945,1227600,CALL,AAPL
AMEREN   CORP,023608102,269695,3369083,,AEE
MARATHON    PETE      CORP,56585A102,266129,4380729,,
LAS   VEGAS  SANDS     CORP,517834107,264618,4581351,,LVS
FACEBOOK     INC,30303M102,261154,1466500,PUT,
ALTABA   INC,021346101,249079,12786404,,
RESTAURANT    BRANDS     INTL  INC,76131D103,248774,3496964,,
ENTERGY   CORP     NEW,29364G103,230623,1965094,,
DIAMONDBACK        ENERGY   INC,25278X109,211231,2349370,,
UNION   PACIFIC    CORP,907818108,198956,1228276,,UNP
NIKE   INC,654106103,196021,2087115,,
ZIMMER     BIOMET   HLDGS      INC,98956P102,193959,1412975,,
NOBLE   ENERGY     INC,655044105,192676,8578658,,
AMAZON   COM   INC,023135106,192276,110764,,AMZN
NVIDIA  CORP,67066G104,182390,1047800,PUT,NVDA
SELECT  SECTOR   SPDR  TR,81369Y407,181146,1500800,CALL,
EDWARDS   LIFESCIENCES         CORP,28176E108,178144,810077,,EW
MICROSOFT  CORP,594918104,175547,1262662,,MSFT
ZOETIS   INC,98978V103,169933,1363940,,ZTS
CITIZENS     FINL   GROUP     INC,174610105,169881,4802971,,
ALIBABA  GROUP       HLDG   LTD,01609W102,166086,993162,,
MOODYS   CORP,615369105,165878,809834,,
MONDELEZ    INTL      INC,609207105,163065,2947678,,
PFIZER   INC,717081103,162715,4528694,,PFE
ISHARES  TR,464287556,160991,1618000,PUT,
FIFTH     THIRD  BANCORP,316773100,160794,5872706,,FITB-PK
METLIFE     INC,59156R108,159197,3375699,,MET-PF
BIO  RAD   LABS     INC,090572207,156840,471361,,
NXP   SEMICONDUCTORS                N     V,N6596X109,155018,1420623,,
SELECT  SECTOR   SPDR  TR,81369Y506,154346,2607200,CALL,
BIOGEN    INC,09062X103,152200,653728,,BIIB
COSTCO   WHSL     CORP   NEW,22160K105,150670,522961,,
S&P   GLOBAL     INC,78409V104,150652,614960,,SPGI
ALPHABET     INC,02079K305,149301,122264,,GOOGN
BANK  NEW    YORK  MELLON     CORP,064058100,146353,3237204,,
LINDE   PLC,G5494J103,141356,729693,,LIN
CMS   ENERGY   CORP,125896100,140843,2202394,,CMS-PC
TARGET   CORP,87612E106,140376,1313032,,TGT
WESTROCK   CO,96145D105,137195,3763943,,
UNITED  TECHNOLOGIES         CORP,913017109,136744,1001644,,
UNITED  AIRLINES     HLDGS   INC,910047109,136485,1543780,,
UNITED  THERAPEUTICS         CORP  DEL,91307C102,133590,1675122,,UTHR
GENESEE     &     WYO  INC,371559105,132660,1200443,,
VANECK   VECTORS    ETF  TR,92189F106,127179,4761500,CALL,
ALTRIA   GROUP     INC,02209S103,125361,3065077,,
PEPSICO   INC,713448108,124880,910871,,PEP
TECHNIPFMC       PLC,G87110105,124759,5168149,,FTI
MCKESSON   CORP,58155Q103,121537,889345,,MCK
CITIGROUP       INC,172967424,120097,1738525,,C-PR
SELECT  SECTOR   SPDR  TR,81369Y605,117286,4188800,PUT,
AMERICAN  ELEC   PWR     CO   INC,025537101,115706,1234988,,
JPMORGAN        CHASE      &  CO,46625H100,115065,977700,PUT,JPM-PM
DANAHER     CORPORATION,235851102,114925,795721,,
JACK       IN  THE   BOX      INC,466367109,113233,1242681,,JACK
BOSTON     SCIENTIFIC       CORP,101137107,112121,2755508,,BSX
DOLLAR   TREE     INC,256746108,111347,975364,,
ALLIANT   ENERGY     CORP,018802108,110309,2045424,,LNT
DOLLAR   GEN   CORP     NEW,256677105,108622,683418,,
FISERV     INC,337738108,107288,1035708,,FISV
GENERAL   DYNAMICS     CORP,369550108,107275,587072,,GD
LOUISIANA     PAC    CORP,546347105,106244,4322397,,
STARBUCKS      CORP,855244109,105886,1197537,,SBUX
HCA     HEALTHCARE       INC,40412C101,104164,865012,,
ISHARES  TR,464287184,103631,2603800,CALL,
NRG   ENERGY     INC,629377508,103209,2606311,,
FIRSTENERGY     CORP,337932107,102121,2117379,,FE
CYPRESS   SEMICONDUCTOR    CORP,232806109,102059,4372725,,
BOOKING    HLDGS      INC,09857L108,101859,51900,PUT,
CAMDEN   PPTY   TR,133131102,101613,915350,,
CISCO   SYS     INC,17275R102,101452,2053272,,
GW   PHARMACEUTICALS        PLC,36197T103,98208,853767,,
PROCTER   &  GAMBLE      CO,742718109,97904,787143,,PG
ASCENDIS   PHARMA     A   S,04351P101,97316,1010343,,
HILL   ROM  HLDGS     INC,431475102,96906,920902,,
IDEX   CORP,45167R104,96527,589011,,
VICI   PPTYS     INC,925652109,96095,4242645,,
CAESARS  ENTMT     CORP,127686103,96064,8238786,,
WYNDHAM    HOTELS     &  RESORTS      INC,98311A105,95866,1852842,,
REGENERON     PHARMACEUTICALS,75886F107,95755,345188,,
WEST   PHARMACEUTICAL       SVSC     INC,955306105,95444,672998,,
WASTE   MGMT   INC   DEL,94106L109,95242,828192,,
DUPONT   DE   NEMOURS       INC,26614N102,94880,1330540,,
WELLCARE     HEALTH     PLANS   INC,94946T106,94654,365222,,
ALLSTATE    CORP,020002101,92900,854809,,ALL-PB
DTE     ENERGY    CO,233331107,92783,697832,,DTG
CROWN   HOLDINGS      INC,228368106,92763,1404228,,
CIGNA        CORP  NEW,125523100,92029,606295,,
HONEYWELL     INTL   INC,438516106,91730,542142,,
BP   PLC,055622104,91716,2414226,,BPPFF
DECIPHERA       PHARMACEUTICALS            IN,24344T101,91559,2697699,,
FIDELITY  NATL  INFORMATION  SV,31620M106,90227,679626,,
CHARTER     COMMUNICATIONS       INC   N,16119P108,89821,217950,,
KEYCORP   NEW,493267108,88353,4952552,,
EXTRA   SPACE  STORAGE     INC,30225T102,88305,755907,,EXR
TCF  FINANCIAL         CORPORATION    NE,872307103,85808,2253957,,
INVITATION   HOMES      INC,46187W107,85802,2897766,,INVH
ADVANCED      DISP   SVCS  INC  DEL,00790X101,85775,2633573,,
BURLINGTON         STORES       INC,122017106,85659,428682,,
ROPER  TECHNOLOGIES         INC,776696106,85481,239713,,ROP
SUNCOR   ENERGY      INC  NEW,867224107,84174,2665434,,SU
COMCAST   CORP  NEW,20030N101,81914,1817095,,CCZ
COSTAR   GROUP     INC,22160N109,81900,138066,,
WPX   ENERGY    INC,98212B103,81006,7649319,,
BANKUNITED   INC,06652K103,80102,2382573,,
BROADCOM   INC,11135F101,80087,290100,PUT,AVGO
EOG     RES     INC,26875P101,79837,1075684,,
GENPACT     LIMITED,G3922B107,79780,2058863,,
EVERCORE   INC,29977A105,78878,984751,,EVR
ISHARES     SILVER     TRUST,46428Q109,78804,4950000,CALL,SLV
MATADOR   RES  CO,576485205,78437,4745138,,
GENERAL   MTRS   CO,37045V100,77699,2073103,,
KROGER  CO,501044101,77482,3005513,,KR
FEDEX   CORP,31428X106,77304,531046,,FDX
LAUDER   ESTEE  COS    INC,518439104,76669,385371,,
WALMART      INC,931142103,76346,643300,PUT,WMT
RAYMOND   JAMES      FINANCIAL      INC,754730109,75992,921571,,RJF
ISHARES  INC,464286400,75829,1799900,PUT,
GRACE   W  R  &    CO     DEL  NEW,38388F108,75671,1133492,,
PRA   HEALTH     SCIENCES     INC,69354M108,75464,760496,,
CHURCHILL     DOWNS    INC,171484108,75343,610293,,CHDN
JETBLUE   AWYS    CORP,477143101,75078,4482298,,
SCIENCE  APPLICATNS     INTL  CP   N,808625107,73774,844589,,
TYSON     FOODS  INC,902494103,73450,852682,,
STATE  STR     CORP,857477103,73397,1240039,,
LABORATORY      CORP  AMER    HLDGS,50540R409,73086,435041,,
GLOBAL   PMTS     INC,37940X102,72126,453627,,
NATERA   INC,632307104,71888,2191733,,
SELECT   SECTOR     SPDR    TR,81369Y100,71393,1226700,PUT,
EL   PASO  ELEC    CO,283677854,70958,1057816,,
AMERICAN  INTL   GROUP      INC,026874784,70692,1269163,,
WILLIAMS   COS    INC    DEL,969457100,70503,2930307,,
KBR   INC,48242W106,70301,2864754,,
WABCO      HLDGS    INC,92927K102,70146,524461,,
MOTOROLA     SOLUTIONS      INC,620076307,69699,409011,,
ALLEGION     PUB     LTD  CO,G0176J109,69676,672229,,
AMARIN   CORP   PLC,023111206,69200,4564648,,
PBF     ENERGY     INC,69318G106,68857,2532470,,PBF
VANECK  VECTORS  ETF  TR,92189F791,68616,1892342,,
BAKER   HUGHES     A  GE   CO,05722G100,68379,2947403,,
VERTEX   PHARMACEUTICALS      INC,92532F100,68020,401489,,
US      FOODS  HLDG  CORP,912008109,68004,1654605,,
BARRICK     GOLD   CORPORATION,067901108,67450,3892122,,
ZYNGA   INC,98986T108,67062,11522780,,
COMERICA  INC,200340107,66866,1013280,,
VOYA   FINL   INC,929089100,66682,1224886,,
EAGLE  MATERIALS         INC,26969P108,66611,740042,,EXP
VALERO     ENERGY     CORP     NEW,91913Y100,66275,777514,,
3M   CO,88579Y101,65633,399229,,MMM
CME   GROUP    INC,12572Q105,65578,310299,,CME
SNAP   INC,83304A106,65552,4148898,,SNAP
APELLIS  PHARMACEUTICALS           INC,03753U106,65314,2711261,,
RADIUS    HEALTH    INC,750469207,65068,2526948,,
LOCKHEED    MARTIN   CORP,539830109,64705,165885,,LMT
EXELON   CORP,30161N101,64061,1326047,,EXC
DOVER     CORP,260003108,64059,643426,,DOV
AUTOMATIC    DATA   PROCESSING  IN,053015103,63770,395060,,
SBA   COMMUNICATIONS         CORP  NEW,78410G104,62572,259476,,SBAC
INGERSOLL-RAND        PLC,G47791101,62528,507499,,
AMERICAN   TOWER   CORP     NEW,03027X100,62294,281711,,
PORTLAND    GEN    ELEC    CO,736508847,61456,1090229,,
VISA   INC,92826C839,61029,354800,CALL,V
BROWN   &  BROWN  INC,115236101,60452,1676432,,
ANTHEM   INC,036752103,60346,251339,,
CBOE       GLOBAL     MARKETS   INC,12503M108,59971,521898,,
BOEING   CO,097023105,59847,157300,PUT,BA-PA
GOLD   FIELDS     LTD  NEW,38059T106,59760,12146466,,GFIOF
CENTERPOINT     ENERGY     INC,15189T107,59459,1970178,,CNP
UNITEDHEALTH       GROUP  INC,91324P102,59141,272142,,UNH
HEICO   CORP  NEW,422806208,59096,607299,,HEI-A
PARSLEY   ENERGY    INC,701877102,59090,3517271,,
CADENCE  DESIGN      SYSTEM     INC,127387108,59007,892964,,
EQUINIX   INC,29444U700,58186,100878,,EQIX
BERKLEY    W     R  CORP,084423102,57775,799888,,WRB-PH
OWENS      ILL   INC,690768403,57663,5614748,,
ROCKWELL     AUTOMATION       INC,773903109,57541,349159,,
CTRIP   COM   INTL  LTD,22943F100,57525,1964002,,
CHEVRON   CORP   NEW,166764100,57183,482154,,CVX
OCCIDENTAL     PETE  CORP,674599105,56676,1274497,,
KEYSIGHT     TECHNOLOGIES    INC,49338L103,56489,580864,,
STANLEY   BLACK      &   DECKER  INC,854502101,56436,390805,,
SS&C  TECHNOLOGIES     HLDGS   INC,78467J100,56380,1093287,,
SIRIUS   XM   HLDGS   INC,82968B103,56360,9010513,,
MGM   GROWTH   PPTYS    LLC,55303A105,56169,1869196,,
AGILENT    TECHNOLOGIES        INC,00846U101,56157,732835,,
IAC   INTERACTIVECORP,44919P508,56115,257444,,
NISOURCE    INC,65473P105,56056,1873550,,NI
BECTON   DICKINSON       &  CO,075887109,55915,221043,,BDX
AMERICAN  CAMPUS    CMNTYS      INC,024835100,55380,1151837,,
ENCOMPASS    HEALTH    CORP,29261A100,55308,874026,,EHC
CONAGRA   BRANDS    INC,205887102,55289,1802138,,CAG
CINTAS   CORP,172908105,55047,205324,,CTAS
VERISK   ANALYTICS      INC,92345Y106,54968,347597,,
PAYPAL    HLDGS   INC,70450Y103,54610,527180,,
BOSTON     BEER   INC,100557107,54514,149731,,
ISHARES  TR,464287242,54508,427581,,
MID  AMER  APT   CMNTYS      INC,59522J103,54340,417974,,
EQUITY   LIFESTYLE      PPTYS  INC,29472R108,54321,406597,,
ELECTRONIC      ARTS   INC,285512109,53624,548200,PUT,EA
RYMAN      HOSPITALITY      PPTYS      INC,78377T107,53298,651486,,
PLANET   FITNESS     INC,72703H101,52895,914034,,
WRIGHT     MED      GROUP     N     V,N96617118,52733,2556157,,
THOMSON    REUTERS      CORP,884903709,52508,785112,,
CONSTELLATION   BRANDS      INC,21036P108,52210,251885,,
INTERNATIONAL    BANCSHARES     COR,459044103,52131,1349847,,
FATE   THERAPEUTICS      INC,31189P102,52105,3355119,,FATE
SELECT   SECTOR     SPDR    TR,81369Y209,52077,577800,CALL,
VERSUM   MATLS    INC,92532W103,51983,982119,,
VULCAN       MATLS     CO,929160109,51766,342278,,
NETFLIX   INC,64110L106,51516,192500,CALL,NFLX
DISNEY  WALT    CO,254687106,51498,395168,,
THE   CHARLES     SCHWAB  CORPORATI,808513105,51346,1227502,,
DUKE   REALTY   CORP,264411505,51118,1504817,,
DOCUSIGN     INC,256163106,50881,821724,,
LAM     RESEARCH   CORP,512807108,50663,219219,,LRCX
TRANSDIGM   GROUP     INC,893641100,50285,96578,,TDG
RPM  INTL   INC,749685103,50276,730660,,
COPART   INC,217204106,50189,624793,,CPRT
ZOGENIX     INC,98978L204,50143,1252337,,
ISHARES  TR,464287432,50086,350062,,
ALDER   BIOPHARMACEUTICALS             INC,014339105,50068,2654751,,
NORTHROP   GRUMMAN    CORP,666807102,49826,132944,,
US      BANCORP  DEL,902973304,49352,891802,,
TRIMBLE   INC,896239100,49312,1270618,,TRMB
ROBERT   HALF     INTL   INC,770323103,49302,885787,,
RALPH   LAUREN     CORP,751212101,48890,512098,,RL
ISHARES  TR,464287655,48655,321500,CALL,
WOODWARD   INC,980745103,48606,450767,,
