name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
MICRON TECHNOLOGY INC,595112103,480366,5652691,,MU
AMAZON COM INC,023135106,430020,125000,,AMZN
FACEBOOK INC,30303M102,418991,1205000,,
ALPHABET INC,02079K107,365923,146000,,GOOGN
T-MOBILE US INC,872590104,364972,2520000,,
OCCIDENTAL PETE CORP,674599105,178552,5710000,,
PG&E CORP,69331C108,165752,16298159,,PCG-PX
ALIBABA GROUP HLDG LTD,01609W102,132666,585000,,
SELECT SECTOR SPDR TR,81369Y506,125248,2325000,,
ENERGY TRANSFER L P,29273V100,112996,10629920,,
D R HORTON INC,23331A109,103407,1144257,,
PAYSAFE LIMITED,G6964L107,102935,8500000,,
UBER TECHNOLOGIES INC,90353T100,101994,2035000,,
TWITTER INC,90184L102,89453,1300000,,
MICROSOFT CORP,594918104,84656,312500,,MSFT
HCA HEALTHCARE INC,40412C101,83730,405000,,
PULTE GROUP INC,745867101,82356,1509189,,
MOSAIC CO NEW,61945C103,78619,2463769,,MOS
UNITEDHEALTH GROUP INC,91324P102,74882,187000,,UNH
FREEPORT-MCMORAN INC,35671D857,74220,2000000,,FCX
SPDR SER TR,78468R556,73484,760000,,
QUALCOMM INC,747525103,73323,513000,,
EMERSON ELEC CO,291011104,70977,737500,,
MACYS INC,55616P104,68446,3610000,,
SYSCO CORP,871829107,68420,880000,,SYY
KOHLS CORP,500255104,66959,1215000,,KSS
VIACOMCBS INC,92556H206,66670,1475000,,
VISA INC,92826C839,64301,275000,,V
GOODYEAR TIRE & RUBR CO,382550101,54280,3165000,,
CARMAX INC,143130102,53597,415000,,KMX
MASTERCARD INCORPORATED,57636Q104,51113,140000,,
ENTERPRISE PRODS PARTNERS L,293792107,49765,2062373,,
ALPS ETF TR,00162Q452,44238,1215000,,
NETFLIX INC,64110L106,34598,65500,,NFLX
ALLIANCE DATA SYSTEMS CORP,018581108,33862,325000,,
ISHARES INC,464286772,28699,308000,,
E2OPEN PARENT HOLDINGS INC,29788T103,28550,2500000,,
CHESAPEAKE ENERGY CORP,165167735,27305,525903,,
ANTERO RESOURCES CORP,03674X106,26753,1780000,,AR
EQT CORP,26884L109,23707,1065000,,EQT
THE BEACHBODY COMPANY INC,073463101,20800,2000000,,
APA CORPORATION,03743Q108,18602,860000,,APA
CHESAPEAKE ENERGY CORP,165167164,16812,625461,,
CHESAPEAKE ENERGY CORP,165167172,16561,694957,,
MPLX LP,55336V100,16197,547006,,MPLXP
ALTIMETER GROWTH CORP 2,G0371B109,15375,1500000,,
WESTERN MIDSTREAM PARTNERS L,958669103,12578,587196,,
BP PLC,055622104,10568,400000,,BPPFF
CHESAPEAKE ENERGY CORP,165167180,8054,386087,,
PG&E CORP,69331C140,7603,75000,,PCG-PX
DRAGONEER GROWTH OPPTY CORP,G28314105,7575,750000,,
ROYAL DUTCH SHELL PLC,780259206,7272,180000,,
ROYAL DUTCH SHELL PLC,780259107,6989,180000,,
TCV ACQUISITION CORP,G8704C124,5946,600000,,
