name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
ALPHABET INC,02079K107,588289,440000,,GOOGN
FACEBOOK INC,30303M102,579831,2825000,,
AMAZON COM INC,023135106,538645,291500,,AMZN
ALIBABA GROUP HLDG LTD,01609W102,509040,2400000,,
MICRON TECHNOLOGY INC,595112103,435618,8100000,,MU
ALLERGAN PLC,G0177J108,247565,1295000,,
PG&E CORP,69331C108,189138,17400000,,PCG-PX
ENERGY TRANSFER LP,29273V100,144094,11231053,,ET-PI
CAESARS ENTMT CORP,127686103,136680,10050000,,
UNITEDHEALTH GROUP INC,91324P102,88194,300000,,UNH
BROADCOM INC,11135F101,86906,275000,,AVGO
SALESFORCE COM INC,79466L302,81320,500000,,
ADOBE INC,00724F101,79154,240000,,ADBE
ALPS ETF TR,00162Q866,55675,6550000,,
T MOBILE US INC,872590104,54894,700000,,
VISTRA ENERGY CORP,92840M102,39522,1719100,,
CAESARS ENTMT CORP,127686AA1,38775,20000000,,
HUMANA INC,444859102,27489,75000,,HUM
CHENIERE ENERGY INC,16411R208,25039,410000,,
INTELSAT S A,L5140P101,20282,2885019,,
CLEARWAY ENERGY INC,18539C204,8844,443295,,
BROADCOM INC,11135F200,2945,2500,,AVGO
CLEARWAY ENERGY INC,18539C105,2609,136462,,
