name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
APPLE INC,037833100,1677446502,7263874,,AAPL
META PLATFORMS INC,30303M102,780526614,1375838,,
BROADCOM INC,11135F101,504002609,2948936,,AVGO
MCKESSON CORP,58155Q103,406037774,831159,,MCK
CME GROUP INC,12572Q105,392918713,1794395,,CME
UNITED THERAPEUTICS CORP DEL,91307C102,342808719,956631,,UTHR
CENCORA INC,03073E105,327117665,1457029,,
ABBVIE INC,00287Y109,319473236,1640975,,ABBV
ALTRIA GROUP INC,02209S103,276108842,5437354,,
EXXON MOBIL CORP,30231G102,258239865,2234489,,
CITIGROUP INC,172967424,248826645,4028277,,C-PR
ALLSTATE CORP,020002101,248091949,1325065,,ALL-PB
LENNAR CORP,526057104,246454759,1326452,,
INTERNATIONAL BUSINESS MACHS,459200101,240336748,1089271,,
VISA INC,92826C839,238337784,871213,,V
GENERAL MTRS CO,37045V100,227100419,5064684,,
APPLIED MATLS INC,038222105,223311574,1105229,,
VERTEX PHARMACEUTICALS INC,92532F100,222806564,480187,,
ASSURANT INC,04621X108,212077851,1068995,,
BEST BUY INC,086516101,205843350,2002757,,
HARTFORD FINL SVCS GROUP INC,416515104,196687409,1699537,,
WENDYS CO,95058W100,193712917,11056673,,
AIRBNB INC,009066101,181637219,1434620,,
MEDTRONIC PLC,G5960L103,175695420,1966593,,MDT
VEEVA SYS INC,922475108,175548910,836465,,
NORTHROP GRUMMAN CORP,666807102,175144499,332841,,
ROSS STORES INC,778296103,172527402,1148154,,
ALLISON TRANSMISSION HLDGS I,01973R101,166826306,1759029,,
GODADDY INC,380237107,157996494,1013968,,GDDY
TAPESTRY INC,876030107,157575425,3365558,,
OREILLY AUTOMOTIVE INC,67103H107,151528793,132206,,
TEXTRON INC,883203101,143201278,1633040,,TXT
EATON CORP PLC,G29183103,142487844,437334,,ETN
ABBOTT LABS,002824100,136973752,1214091,,
FIDELITY NATL INFORMATION SV,31620M106,135791294,1634268,,
BLOCK H & R INC,093671105,134429496,2119336,,
JPMORGAN CHASE & CO.,46625H100,133376243,642591,,JPM-PM
GUIDEWIRE SOFTWARE INC,40171V100,127309963,706571,,
AUTOMATIC DATA PROCESSING IN,053015103,126620650,463438,,
