name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
ALPHABET INC,02079K305,1918241,930047,,GOOGN
VEEVA SYS INC,922475108,1657512,6344787,,
ARCH CAP GROUP LTD,G0450A105,1368513,35666219,,
ANTHEM INC,036752103,1207037,3362687,,
BOOKING HOLDINGS INC,09857L108,1138199,488531,,BKNG
ATLASSIAN CORP PLC,G06242104,1088491,5164599,,
FIDELITY NATL INFORMATION SV,31620M106,1059565,7535490,,
FACEBOOK INC,30303M102,1030281,3498052,,
FORTIVE CORP,34959J108,1004520,14220269,,FTV
EXPEDIA GROUP INC,30212P303,995467,5783562,,
MICROSOFT CORP,594918104,952654,4040608,,MSFT
DENTSPLY SIRONA INC,24906P109,951448,14910643,,XRAY
BANK NEW YORK MELLON CORP,064058100,936117,19795245,,
ADVANCED MICRO DEVICES INC,007903107,933721,11894539,,AMD
IHS MARKIT LTD,G47567105,931216,9621992,,
GLOBAL PMTS INC,37940X102,929570,4611418,,
COGNIZANT TECHNOLOGY SOLUTIO,192446102,922510,11808879,,
ACTIVISION BLIZZARD INC,00507V109,910027,9785239,,
BOSTON SCIENTIFIC CORP,101137107,897562,23222827,,BSX
BERKSHIRE HATHAWAY INC DEL,084670702,895482,3505235,,BRK-A
APTIV PLC,G6095L109,879109,6374974,,APTV
CITIGROUP INC,172967424,861729,11845068,,C-PR
HUBSPOT INC,443573100,846592,1863878,,HUBS
ZYNGA INC,98986T108,843913,82655497,,
AMERICAN EXPRESS CO,025816109,828157,5855179,,AXP
NICE LTD,653656108,828109,3799186,,NCSYF
NXP SEMICONDUCTORS N V,N6596X109,812266,4034300,,
NEXTERA ENERGY INC,65339F101,804565,10640983,,NEE-PS
ARGENX SE,04016X101,790917,2871989,,ARGX
ALIBABA GROUP HLDG LTD,01609W102,785283,3463516,,
ASCENDIS PHARMA A/S,04351P101,779323,6046890,,ASND
NETFLIX INC,64110L106,778999,1493307,,NFLX
IMPERIAL OIL LTD,453038408,769509,31768780,,IMO
LOWES COS INC,548661107,759063,3991286,,
UBER TECHNOLOGIES INC,90353T100,749934,13757726,,
DANAHER CORPORATION,235851102,733590,3259241,,
ARISTA NETWORKS INC,040413106,708706,2347565,,
DEXCOM INC,252131107,707218,1967829,,DXCM
CHEGG INC,163092109,693724,8098574,,
VISA INC,92826C839,684582,3233277,,V
TELEFONICA BRASIL SA,87936R205,660226,83891508,,
SEA LTD,81141R100,613371,2747710,,SE
MARSH & MCLENNAN COS INC,571748102,609539,5004425,,
PROGRESSIVE CORP,743315103,599721,6272572,,
AMAZON COM INC,023135106,594370,192099,,AMZN
MERCADOLIBRE INC,58733R102,579799,393848,,MELI
SOUTHWEST AIRLS CO,844741108,568168,9305084,,
INGERSOLL RAND INC,45687V106,568161,11545633,,IR
ALPHABET INC,02079K107,555961,268758,,GOOGN
AON PLC,G0403H108,550376,2391795,,AON
SCHWAB CHARLES CORP,808513105,491462,7540076,,SCHW-PJ
CANADIAN PAC RY LTD,13645T100,481974,1261868,,
FEDEX CORP,31428X106,477369,1680640,,FDX
LATTICE SEMICONDUCTOR CORP,518415104,476243,10578483,,LSCC
SUNCOR ENERGY INC NEW,867224107,458681,21942315,,SU
HALOZYME THERAPEUTICS INC,40637H109,436418,10468159,,
ANALOG DEVICES INC,032654105,431470,2782240,,ADI
NEW YORK TIMES CO,650111107,422820,8352825,,NYT
NVIDIA CORPORATION,67066G104,409767,767455,,NVDA
MATCH GROUP INC NEW,57667L107,409721,2982393,,
UNITY SOFTWARE INC,91332U101,406631,4053746,,U
CATALENT INC,148806102,399014,3788949,,
TJX COS INC NEW,872540109,380080,5745724,,
EXACT SCIENCES CORP,30063P105,356026,2701669,,
STARBUCKS CORP,855244109,353249,3232812,,SBUX
WEST PHARMACEUTICAL SVSC INC,955306105,352281,1250199,,
BURLINGTON STORES INC,122017106,349315,1169060,,
TRIMBLE INC,896239100,340386,4375708,,TRMB
SHOPIFY INC,82509L107,337256,304795,,SHOP
SKYWORKS SOLUTIONS INC,83088M102,332088,1809943,,
CENTENE CORP DEL,15135B101,330260,5167575,,CNC
ADVANCE AUTO PARTS INC,00751Y106,324948,1770929,,AAP
GENERAC HLDGS INC,368736104,321458,981701,,
TRADEWEB MKTS INC,892672106,319047,4311447,,
BILIBILI INC,090040106,310069,2896217,,BLBLF
AIRBNB INC,009066101,306818,1632532,,
SVB FINANCIAL GROUP,78486Q101,296777,601177,,
WAYFAIR INC,94419L101,296169,940965,,W
MSCI INC,55354G100,293187,699264,,MSCI
TAL EDUCATION GROUP,874080104,291377,5410900,,TAL
TELEDYNE TECHNOLOGIES INC,879360105,289261,699290,,TDY
TYLER TECHNOLOGIES INC,902252105,289050,680871,,TYL
CHIPOTLE MEXICAN GRILL INC,169656105,287202,202138,,CMG
BLACKLINE INC,09239B109,281449,2596395,,
SYNOPSYS INC,871607107,279652,1128629,,SNPS
NASDAQ INC,631103108,275989,1871618,,
ZSCALER INC,98980G102,271172,1579612,,
HDFC BANK LTD,40415F101,271147,3490111,,HDB
ASML HOLDING N V,N07059210,267233,432864,,
DATADOG INC,23804L103,264323,3171627,,
COUPA SOFTWARE INC,22266L106,262387,1031072,,
