name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
NOVO-NORDISK A S,670100205,2025648,24181071,,
VERISIGN INC,92343E102,1102313,4841290,,
ZOOM VIDEO COMMUNICATIONS IN,98980L101,1030608,2662863,,
NVIDIA CORPORATION,67066G104,928750,1160793,,NVDA
AMAZON COM INC,023135106,896695,260655,,AMZN
TARGET CORP,87612E106,870399,3600559,,TGT
ATLASSIAN CORP PLC,G06242104,845932,3293360,,
MODERNA INC,60770K107,749223,3188454,,
KROGER CO,501044101,679296,17731571,,KR
MONSTER BEVERAGE CORP NEW,61174X109,655670,7177560,,MNST
FRANCO NEV CORP,351858105,633923,4369790,,
ALEXION PHARMACEUTICALS INC,015351109,578231,3147521,,
DOMINOS PIZZA INC,25754A201,572861,1228025,,DPZ
MOLINA HEALTHCARE INC,60855R100,568997,2248465,,
MICROSOFT CORP,594918104,560542,2069184,,MSFT
APPLE INC,037833100,558609,4078632,,AAPL
UNITED THERAPEUTICS CORP DEL,91307C102,557999,3110191,,UTHR
HERSHEY CO,427866108,556064,3192466,,HSY
ABIOMED INC,003654100,524009,1678923,,
VODAFONE GROUP PLC NEW,92857W308,510645,29809976,,
BRISTOL-MYERS SQUIBB CO,110122108,488182,7305925,,
ALPHABET INC,02079K305,483103,197848,,GOOGN
HERBALIFE NUTRITION LTD,G4412G101,469016,8894664,,
BIOGEN INC,09062X103,460540,1330003,,BIIB
VERTEX PHARMACEUTICALS INC,92532F100,459169,2277284,,
JAZZ PHARMACEUTICALS PLC,G50871105,411635,2317240,,JAZZ
ICON PLC,G4705A100,411109,1988818,,ICLR
HORIZON THERAPEUTICS PUB L,G46188101,396815,4237663,,
INCYTE CORP,45337C102,379858,4515133,,INCY
FORTINET INC,34959E109,377837,1586284,,
AON PLC,G0403H108,368908,1545101,,AON
ROKU INC,77543R102,365478,795816,,
ETSY INC,29786A106,362933,1763181,,ETSY
GLAXOSMITHKLINE PLC,37733W105,360822,9061321,,
F5 NETWORKS INC,315616102,354605,1899736,,
ADVANCED MICRO DEVICES INC,007903107,354231,3771226,,AMD
CROWDSTRIKE HLDGS INC,22788C105,351896,1400245,,
QUALCOMM INC,747525103,350602,2452960,,
PALO ALTO NETWORKS INC,697435105,348501,939230,,PANW
GILEAD SCIENCES INC,375558103,347561,5047355,,
NATIONAL GRID PLC,636274409,330383,5167077,,NMKBP
EXELIXIS INC,30161Q104,329463,18082501,,
CABLE ONE INC,12685J105,315614,165000,,
DISNEY WALT CO,254687106,310766,1768027,,
WALMART INC,931142103,307367,2179600,,WMT
CBOE GLOBAL MKTS INC,12503M108,296306,2488924,,
JOHNSON & JOHNSON,478160104,288031,1748400,,JNJ
NIO INC,62914V106,281635,5293900,,NIOIF
CSX CORP,126408103,274650,8561400,,CSX
SLACK TECHNOLOGIES INC,83088V102,263266,5942800,,
UNITED PARCEL SERVICE INC,911312106,263071,1264945,,UPS
NETFLIX INC,64110L106,261094,494300,,NFLX
MEDIFAST INC,58470H101,253327,895210,,MED
SALESFORCE COM INC,79466L302,252864,1035181,,
NEWMONT CORP,651639106,248501,3920950,,
BARRICK GOLD CORP,067901108,247961,11990376,,
