name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
MICROSOFT CORP,594918104,25257061423,87608980,,MSFT
BROADCOM INC,11135F101,17548340060,27354028,,AVGO
UNITEDHEALTH GROUP INC,91324P102,13887210093,29385548,,UNH
HOME DEPOT INC,437076102,11663790509,39524320,,
PHILIP MORRIS INTL INC,718172109,10874134658,111816950,,
LILLY ELI & CO,532457108,9474373905,27588540,,
PFIZER INC,717081103,9445545899,231512368,,PFE
TESLA INC,88160R101,9077913961,43760201,,
CANADIAN NAT RES LTD,136385101,8281382927,149647902,,
META PLATFORMS INC,30303M102,7520814240,35486247,,
THERMO FISHER SCIENTIFIC INC,883556102,7449136338,12924464,,TMO
CATERPILLAR INC,149123101,6585800548,28780071,,CAT
GILEAD SCIENCES INC,375558103,6347024026,76500240,,
TARGET CORP,87612E106,5977005242,36087765,,TGT
ALPHABET INC,02079K107,5448325639,52388770,,GOOGN
JPMORGAN CHASE & CO,46625H100,5282643941,40540298,,JPM-PM
APPLE INC,037833100,5277240075,32003730,,AAPL
VERTEX PHARMACEUTICALS INC,92532F100,5086581041,16144423,,
BOOKING HOLDINGS INC,09857L108,5043653102,1901536,,BKNG
REGENERON PHARMACEUTICALS,75886F107,4790765482,5830586,,
ASML HOLDING N V,N07059210,4665950541,6854767,,
TE CONNECTIVITY LTD,H84989104,4562842568,34791023,,
LOCKHEED MARTIN CORP,539830109,4382175210,9269909,,LMT
LINDE PLC,G54950103,4181825636,11765704,,LIN
APPLIED MATLS INC,038222105,4032861735,32832988,,
ALTRIA GROUP INC,02209S103,3964714283,88855094,,
NETFLIX INC,64110L106,3854338669,11156673,,NFLX
D R HORTON INC,23331A109,3832080600,39226950,,
MOTOROLA SOLUTIONS INC,620076307,3771748389,13181940,,
BOEING CO,097023105,3705463120,17443429,,BA-PA
ALPHABET INC,02079K305,3586323504,34576141,,GOOGN
COMCAST CORP NEW,20030N101,3403838729,89791281,,CCZ
CENTENE CORP DEL,15135B101,3354360729,53066930,,CNC
CARRIER GLOBAL CORPORATION,14448C104,3328737045,72760311,,CARR
ALNYLAM PHARMACEUTICALS INC,02043Q107,3300442697,16476201,,
GOLDMAN SACHS GROUP INC,38141G104,3202307237,9789789,,GS-PD
DOLLAR TREE INC,256746108,3160999131,22020197,,
AON PLC,G0403H108,3030105363,9610595,,AON
SALESFORCE INC,79466L302,2953589179,14784209,,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,2934096117,31543695,,
CONOCOPHILLIPS,20825C104,2886959299,29099460,,COP
MARSH & MCLENNAN COS INC,571748102,2864702862,17200922,,
BLACKSTONE INC,09260D107,2827866543,32193693,,BX
RESTAURANT BRANDS INTL INC,76131D103,2786724201,41507793,,
LENNAR CORP,526057104,2756927247,26228972,,
BAKER HUGHES COMPANY,05722G100,2753754783,95418443,,
CENOVUS ENERGY INC,15135U109,2751644593,157701666,,CVE
L3HARRIS TECHNOLOGIES INC,502431109,2627537208,13389589,,
CSX CORP,126408103,2586664819,86398273,,CSX
CME GROUP INC,12572Q105,2561804194,13376915,,CME
SEAGEN INC,81181C104,2484193517,12269440,,
HALLIBURTON CO,406216101,2460540793,77766776,,HAL
CVS HEALTH CORP,126650100,2425078105,32633970,,CVS
VISA INC,92826C839,2394626668,10621071,,V
EXTRA SPACE STORAGE INC,30225T102,2245123425,13779681,,EXR
CORTEVA INC,22052L104,2216239416,36747462,,
DISCOVER FINL SVCS,254709108,2101994248,21267062,,
MORGAN STANLEY,617446448,2093411976,23842961,,MS-PQ
PIONEER NAT RES CO,723787107,2086763102,10217477,,
SYNOPSYS INC,871607107,2070624836,5360841,,SNPS
DARDEN RESTAURANTS INC,237194105,2066114437,13316302,,DRI
MOSAIC CO NEW,61945C103,2044568405,44563393,,MOS
BANK AMERICA CORP,060505104,2037956602,71258790,,
CHUBB LIMITED,H1467J104,1986880444,10232378,,
TC ENERGY CORP,87807B107,1985545659,51043579,,TRPRF
EXXON MOBIL CORP,30231G102,1967765358,17944240,,
GENERAL MTRS CO,37045V100,1937897889,52835035,,
APOLLO GLOBAL MGMT INC,03769M106,1929915770,30555982,,
BUNGE LIMITED,G16962105,1909950151,19995345,,
INTUITIVE SURGICAL INC,46120E602,1908512001,7470915,,ISRG
NVIDIA CORPORATION,67066G104,1777278013,6398380,,NVDA
CHEVRON CORP NEW,166764100,1759692438,10785185,,CVX
AES CORP,00130H105,1726566169,71702279,,AES
CHIPOTLE MEXICAN GRILL INC,169656105,1685602201,986719,,CMG
COSTCO WHSL CORP NEW,22160K105,1676163090,3373490,,
YUM BRANDS INC,988498101,1669953719,12644353,,YUM
VALE S A,91912E105,1615109873,102348157,,
FISERV INC,337738108,1604713698,14197237,,FISV
CANADIAN PAC RY LTD,13645T100,1604055859,20848065,,
WHEATON PRECIOUS METALS CORP,962879102,1541044854,31998439,,WPM
MERCK & CO INC,58933Y105,1525014900,14334194,,
THE CIGNA GROUP,125523100,1523555128,5962475,,
CONSTELLATION BRANDS INC,21036P108,1522555073,6740250,,
ARCHER DANIELS MIDLAND CO,039483102,1503414730,18873151,,
