name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
PG&E CORP,69331C108,712334000,51100000,,PCG-PX
AMAZON COM INC,023135106,594546900,2710000,,AMZN
NVIDIA CORPORATION,67066G104,442372000,2800000,,NVDA
CAPITAL ONE FINL CORP,14040H105,383862443,1804204,,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,323880700,1430000,,
FLUTTER ENTMT PLC,G3643J108,305763200,1070000,,
LIVE NATION ENTERTAINMENT IN,538034109,298778000,1975000,,
BROOKFIELD CORP,11271J107,289148750,4675000,,
COSTAR GROUP INC,22160N109,248034000,3085000,,
VISTRA CORP,92840M102,242262500,1250000,,VST
TELEPHONE & DATA SYS INC,879433829,239275500,6725000,,
CRH PLC,G25508105,237762000,2590000,,
LPL FINL HLDGS INC,50212V100,234356250,625000,,
TALEN ENERGY CORP,87422Q109,228254450,785000,,TLN
CORPAY INC,219948106,227296700,685000,,
CARPENTER TECHNOLOGY CORP,144285103,207285000,750000,,CRS
MICROSOFT CORP,594918104,198964000,400000,,MSFT
CASEYS GEN STORES INC,147528103,183697200,360000,,
APOLLO GLOBAL MGMT INC,03769M106,180884250,1275000,,
KENVUE INC,49177J102,178428250,8525000,,KVUE
INTERCONTINENTAL EXCHANGE IN,45866F104,174296500,950000,,
PRIMO BRANDS CORPORATION,741623102,171055500,5775000,,PRMB
JACOBS SOLUTIONS INC,46982L108,166152800,1264000,,J
MR COOPER GROUP INC,62482R107,138019250,925000,,
SHARKNINJA INC,G8068L108,118788000,1200000,,
META PLATFORMS INC,30303M102,110713500,150000,,
COMFORT SYS USA INC,199908104,99198850,185000,,
DANAHER CORPORATION,235851102,98770000,500000,,
RB GLOBAL INC,74935Q107,73802050,695000,,RBA
WORKDAY INC,98138H101,72000000,300000,,
APOLLO GLOBAL MGMT INC,03769M304,67365000,900000,,
ROCKET COS INC,77311W101,67355000,4750000,,
FLOWSERVE CORP,34354P105,62558250,1195000,,FLS
FORTIVE CORP,34959J108,60470800,1160000,,FTV
DOCUSIGN INC,256163106,48681250,625000,,
SOHO HOUSE & CO INC,586001109,38011819,5171676,,
CHART INDS INC,16115Q308,35399750,215000,,
HERTZ GLOBAL HLDGS INC,42806J148,14490500,3970000,,
PG&E CORP,69331CAL2,9928534,10000000,,PCG-PX
SEA LTD,81141R100,7997000,50000,,SE
RALLIANT CORP,750940108,6061395,125003,,RAL
AURORA INNOVATION INC,051774107,5410106,1032463,,
PG&E CORP,69331C306,5264000,140000,,PCG-PX
SABRE CORP,78573M104,2370000,750000,,SABR
FLYEXCLUSIVE INC,343928107,1992900,1022000,,FLYX-WT
SERVICETITAN INC,81764X103,1607700,15000,,
AURORA INNOVATION INC,051774115,1596450,1835000,,
CLARITEV CORPORATION,62548M209,1353900,30000,,CTEV
ATEGRITY SPECIALTY IN CO HO,04681Y103,1076000,50000,,
ARDENT HEALTH INC,03980N107,1024500,75000,,
FLYEXCLUSIVE INC,343928115,36750,367499,,FLYX-WT
