name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
AMAZON COM INC,023135106,128390,46538,,AMZN
INVESCO QQQ TR,46090E103,105230,425000,PUT,
PAYPAL HLDGS INC,70450Y103,88740,509329,,
WILLIS TOWERS WATSON PLC LTD,G96629103,83927,426135,,WTW
ABBOTT LABS,002824100,75843,829524,,
WORKDAY INC,98138H101,71371,380928,,
TARGET CORP,87612E106,70914,591294,,TGT
FLEETCOR TECHNOLOGIES INC,339041105,70241,279256,,
NORFOLK SOUTHERN CORP,655844108,69071,393411,,NSC
ADOBE INC,00724F101,66950,153798,,ADBE
SHOPIFY INC,82509L107,64343,67787,,SHOP
SPDR SER TR,78464A698,61424,1600000,CALL,
F5 NETWORKS INC,315616102,61401,440213,,
ILLINOIS TOOL WKS INC,452308109,61212,350084,,
IAC INTERACTIVECORP,44919P508,61036,188733,,
DICKS SPORTING GOODS INC,253393102,57103,1383973,,
COSTCO WHSL CORP NEW,22160K105,55640,183503,,
QORVO INC,74736K101,53712,485951,,
L3HARRIS TECHNOLOGIES INC,502431109,53205,313577,,
QUALCOMM INC,747525103,53087,582032,,
NXP SEMICONDUCTORS N V,N6596X109,52392,459414,,
NIKE INC,654106103,51949,529823,,
OTIS WORLDWIDE CORP,68902V107,50836,894054,,OTIS
PROCTER AND GAMBLE CO,742718109,50545,422723,,
E TRADE FINANCIAL CORP,269246401,47936,963930,,
SCIENCE APPLICATIONS INTL CO,808625107,47374,609867,,
HOLOGIC INC,436440101,46236,811154,,
TWILIO INC,90138F102,45663,208108,,TWLO
LANDSTAR SYS INC,515098101,44922,399984,,
EQUITY RESIDENTIAL,29476L107,44169,750915,,EQR
QUEST DIAGNOSTICS INC,74834L100,43786,384222,,DGX
MID-AMER APT CMNTYS INC,59522J103,42577,371304,,
IHS MARKIT LTD,G47567105,42150,558272,,
RESTAURANT BRANDS INTL INC,76131D103,40901,748698,,
ADVANCE AUTO PARTS INC,00751Y106,40847,286747,,AAP
FACEBOOK INC,30303M102,39968,176016,,
FIDELITY NATL INFORMATION SV,31620M106,39748,296428,,
LEAR CORP,521865204,39742,364542,,LEA
GRACO INC,384109104,39231,817491,,GGG
PFIZER INC,717081103,38938,1190759,,PFE
FOOT LOCKER INC,344849104,38875,1333160,,
SERVICENOW INC,81762P102,37590,92800,,
M D C HLDGS INC,552676108,37057,1038012,,
SUN CMNTYS INC,866674104,36982,272570,,
AIR PRODS & CHEMS INC,009158106,36869,152692,,
UNION PAC CORP,907818108,36690,217008,,
IDEX CORP,45167R104,36185,228960,,
PENTAIR PLC,G7S00T104,35619,937598,,PNR
TEXAS INSTRS INC,882508104,34304,270172,,
BOSTON PPTYS LTD PARTNERSHIP,101121101,34181,378196,,
SPDR SER TR,78464A870,33585,300000,CALL,
ISHARES TR,464287432,32786,200000,PUT,
NEVRO CORP,64157F103,32628,273105,,
VIAVI SOLUTIONS INC,925550105,32608,2559495,,VIAV
VEEVA SYS INC,922475108,32268,137650,,
FLOOR & DECOR HLDGS INC,339750101,32060,556107,,
FORTIVE CORP,34959J108,31987,472764,,FTV
ROYAL DUTCH SHELL PLC,780259206,31564,965562,,
KRAFT HEINZ CO,500754106,31061,973997,,KHC
MODERNA INC,60770K107,30926,481631,,
GILEAD SCIENCES INC,375558103,30776,400000,PUT,
SCHLUMBERGER LTD,806857108,30671,1667833,,
VANECK VECTORS ETF TR,92189F676,30560,200000,,
DEERE & CO,244199105,30518,194198,,DE
THERMO FISHER SCIENTIFIC INC,883556102,30339,83732,,TMO
TE CONNECTIVITY LTD,H84989104,30230,370698,,
CARTERS INC,146229109,30124,373285,,CRI
OREILLY AUTOMOTIVE INC,67103H107,30021,71196,,
PRINCIPAL FINANCIAL GROUP IN,74251V102,29880,719306,,
COGNEX CORP,192422103,29841,499679,,CGNX
PULTE GROUP INC,745867101,29220,858645,,
ON SEMICONDUCTOR CORP,682189105,29095,1467985,,ON
KILROY RLTY CORP,49427F108,28644,487969,,
TIMKEN CO,887389104,28445,625295,,TKR
ANALOG DEVICES INC,032654105,27982,228160,,ADI
WOODWARD INC,980745103,27963,360585,,
ANSYS INC,03662Q105,27826,95384,,
EVEREST RE GROUP LTD,G3223R108,27136,131600,,
DISCOVERY INC,25470F104,27089,1283849,,
FIRST INDL RLTY TR INC,32054K103,27043,703523,,
M/I HOMES INC,55305B101,26911,781376,,
JOHNSON & JOHNSON,478160104,26425,187901,,JNJ
LUMINEX CORP DEL,55027E102,26360,810336,,
NUVASIVE INC,670704105,25956,466337,,
MEDTRONIC PLC,G5960L103,25914,282590,,MDT
MARTIN MARIETTA MATLS INC,573284106,25851,125145,,
EMPIRE ST RLTY TR INC,292104106,25568,3652525,,
BANK NEW YORK MELLON CORP,064058100,25286,654242,,
TEXTRON INC,883203101,25002,759707,,TXT
CATERPILLAR INC DEL,149123101,25000,197630,,CAT
FORTUNE BRANDS HOME & SEC IN,34964C106,24569,384318,,
SENSIENT TECHNOLOGIES CORP,81725T100,24266,465227,,SXT
MANPOWERGROUP INC,56418H100,24133,351022,,MAN
CNH INDL N V,N20944109,24036,3429680,,
TOLL BROTHERS INC,889478103,23903,733460,,
BOOKING HOLDINGS INC,09857L108,23885,15000,CALL,BKNG
LEIDOS HOLDINGS INC,525327102,23877,254903,,
NOVO-NORDISK A S,670100205,23757,362808,,
ELANCO ANIMAL HEALTH INC,28414H103,23710,1105352,,ELAN
INSULET CORP,45784P101,23414,120531,,PODD
BUNGE LIMITED,G16962105,23385,568574,,
CHUBB LIMITED,H1467J104,23237,183514,,
CENTURY CMNTYS INC,156504300,23220,757350,,
SELECT SECTOR SPDR TR,81369Y704,23171,337277,,
ISHARES TR,464288414,23080,200000,PUT,
DOVER CORP,260003108,22915,237311,,DOV
GENERAL DYNAMICS CORP,369550108,22904,153245,,GD
INVITATION HOMES INC,46187W107,22846,829861,,INVH
BEST BUY INC,086516101,22789,261127,,
ARCH CAP GROUP LTD,G0450A105,22544,786891,,
MARATHON OIL CORP,565849106,22425,3664282,,
KNIGHT SWIFT TRANSN HLDGS IN,499049104,22285,534277,,
COCA COLA EUROPEAN PARTNERS,G25839104,22277,589958,,
HEALTHCARE RLTY TR,421946104,22071,753533,,
SYNCHRONY FINANCIAL,87165B103,21947,990399,,SYF-PB
CANADIAN NAT RES LTD,136385101,21910,1261255,,
