name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
NVIDIA CORPORATION,67066G104,4737006249,17053700,CALL,NVDA
ALPHABET INC,02079K107,2234512800,21485700,CALL,GOOGN
INVESCO QQQ TR,46090E103,977360222,3045400,CALL,
BOOKING HOLDINGS INC,09857L108,953276154,359400,CALL,BKNG
HOME DEPOT INC,437076102,898079672,3043100,CALL,
BOEING CO,097023105,791811582,3727400,CALL,BA-PA
MASTERCARD INCORPORATED,57636Q104,774899143,2132300,CALL,
PAYPAL HLDGS INC,70450Y103,641928414,8453100,CALL,
SPDR S&P 500 ETF TR,78462F103,629191491,1536900,CALL,
ISHARES TR,464287655,620136240,3476100,CALL,
FIRST SOLAR INC,336433107,551014500,2533400,CALL,
ISHARES TR,464288513,523183750,6925000,CALL,
META PLATFORMS INC,30303M102,518850314,2448100,CALL,
VANECK ETF TRUST,92189F676,509509521,1935900,CALL,
SELECT SECTOR SPDR TR,81369Y506,490949976,5927200,CALL,
ABBVIE INC,00287Y109,476691607,2991100,CALL,ABBV
INTERNATIONAL BUSINESS MACHS,459200101,411176894,3136600,CALL,
SPDR GOLD TR,78463V107,395865132,2160600,CALL,
COCA COLA CO,191216100,382427356,6165200,CALL,KO
REGENERON PHARMACEUTICALS,75886F107,374681520,456000,CALL,
CHARTER COMMUNICATIONS INC N,16119P108,371127658,1037800,CALL,
CROWDSTRIKE HLDGS INC,22788C105,369792166,2694100,CALL,
PALO ALTO NETWORKS INC,697435105,363906306,1821900,CALL,PANW
CISCO SYS INC,17275R102,363865365,6960600,CALL,
UNITED PARCEL SERVICE INC,911312106,361713754,1864600,CALL,UPS
SPDR DOW JONES INDL AVERAGE,78467X109,358863718,1078900,CALL,
ASML HOLDING N V,N07059210,344507331,506100,CALL,
LILLY ELI & CO,532457108,343385658,999900,CALL,
LAM RESEARCH CORP,512807108,336149092,634100,CALL,LRCX
WELLS FARGO CO NEW,949746101,328338444,8783800,CALL,
T-MOBILE US INC,872590104,324007080,2237000,CALL,
MICRON TECHNOLOGY INC,595112103,318287466,5274900,CALL,MU
PLUG PWR INC,72919PAD5,315047309,133120000,,
TARGET CORP,87612E106,313471338,1892600,CALL,TGT
FEDEX CORP,31428X106,300784236,1316400,CALL,FDX
WORLD WRESTLING ENTMT INC,98156QAB4,299503277,81837000,,
ROBLOX CORP,771049103,282897212,6289400,CALL,RBLX
DOMINOS PIZZA INC,25754A201,281873915,854500,CALL,DPZ
VERIZON COMMUNICATIONS INC,92343V104,281742494,7244600,CALL,VZ
MERCADOLIBRE INC,58733R102,276924406,210100,CALL,MELI
ACCENTURE PLC IRELAND,G1151C101,274206114,959400,CALL,
COINBASE GLOBAL INC,19260Q107,272374670,4031000,CALL,
MERCK & CO INC,58933Y105,265443050,2495000,CALL,
UNITED STS OIL FD LP,91232N207,261381604,3934100,CALL,
3M CO,88579Y101,255354234,2429400,CALL,MMM
GENERAL MTRS CO,37045V100,251166300,6847500,CALL,
THERMO FISHER SCIENTIFIC INC,883556102,244265606,423800,CALL,TMO
INTUIT,461202103,236334483,530100,CALL,
TWILIO INC,90138F102,235483746,3534200,CALL,TWLO
VANECK ETF TRUST,92189F106,234938640,7262400,CALL,
LIVENT CORP,53814LAB4,233286186,91291000,,
ZOOM VIDEO COMMUNICATIONS IN,98980L101,229841768,3112700,CALL,
MONGODB INC,60937P106,225660160,968000,CALL,
