name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
VANGUARD INTL EQUITY INDEX F,922042775,84145,1767384,,
MICROSOFT CORP,594918104,82974,407715,,MSFT
AMERICAN TOWER CORP NEW,03027X100,56914,220138,,
VISA INC,92826C839,46854,242554,,V
IDEXX LABS INC,45168D104,40547,122809,,
THERMO FISHER SCIENTIFIC INC,883556102,37949,104732,,TMO
PIMCO ETF TR,72201R833,37267,366473,,
DANAHER CORPORATION,235851102,37144,210053,,
AGNICO EAGLE MINES LTD,008474108,32253,503475,,AEM
CARMAX INC,143130102,29887,333744,,KMX
WATSCO INC,942622200,28557,160702,,WSO-B
TJX COS INC NEW,872540109,26548,525071,,
ALPHABET INC,02079K305,26427,18636,,GOOGN
ECOLAB INC,278865100,26343,132409,,ECL
WISDOMTREE TR,97717W778,24598,459352,,
KINSALE CAP GROUP INC,49714P108,23809,153400,,
DISNEY WALT CO,254687106,23792,213363,,
BERKSHIRE HATHAWAY INC DEL,084670702,23055,129153,,BRK-A
ASPEN TECHNOLOGY INC,045327103,22895,220971,,
CHUBB LIMITED,H1467J104,22537,177988,,
PIMCO ETF TR,72201R718,22010,215912,,
PROCTER AND GAMBLE CO,742718109,21134,176749,,
MEDTRONIC PLC,G5960L103,20431,222804,,MDT
JOHNSON & JOHNSON,478160104,20004,142248,,JNJ
UGI CORP NEW,902681105,19718,620064,,
TE CONNECTIVITY LTD,H84989104,18690,229187,,
3M CO,88579Y101,17715,113565,,MMM
CVS HEALTH CORP,126650100,17554,270185,,CVS
FIRST REP BK SAN FRANCISCO C,33616C100,17518,165284,,
MCCORMICK & CO INC,579780206,17221,95989,,MKC-V
AUTOMATIC DATA PROCESSING IN,053015103,17053,114537,,
AMERICAN WTR WKS CO INC NEW,030420103,16629,129247,,
SPDR S&P 500 ETF TR,78462F103,15354,49792,,
APPLE INC,037833100,14975,41051,,AAPL
HEALTHPEAK PROPERTIES INC,42250P103,14869,539517,,
CHEVRON CORP NEW,166764100,14680,164517,,CVX
EVERSOURCE ENERGY,30040W108,14547,174696,,ES
MERCADOLIBRE INC,58733R102,13837,14037,,MELI
ISHARES TR,46435G516,13326,219976,,
YANDEX N V,N97284108,12615,252200,,
PIMCO DYNAMIC INCOME FD,72201Y101,12256,495801,,
JANUS DETROIT STR TR,47103U886,12078,240304,,
AMPHENOL CORP NEW,032095101,11848,123665,,
BERKSHIRE HATHAWAY INC DEL,084670108,10692,40,,BRK-A
BANK NOVA SCOTIA B C,064149107,10557,255984,,
YUM BRANDS INC,988498101,10461,120364,,YUM
WAYFAIR INC,94419L101,10444,52853,,W
SPROTT PHYSICAL GOLD & SILVE,85208R101,10441,617811,,
PAYCHEX INC,704326107,9791,129258,,PAYX
CONSTELLATION BRANDS INC,21036P108,8629,49321,,
GILEAD SCIENCES INC,375558103,8452,109856,,
WALGREENS BOOTS ALLIANCE INC,931427108,7727,182292,,
UNION PAC CORP,907818108,7409,43822,,
US BANCORP DEL,902973304,7211,195836,,
PEPSICO INC,713448108,6684,50537,,PEP
GOLD TRUST,464285105,6257,368273,,
PIMCO DYNAMIC CR INCOME FD,72202D106,6194,336097,,
EXXON MOBIL CORP,30231G102,5077,113525,,
SPDR GOLD TR,78463V107,4848,28966,,
AMAZON COM INC,023135106,4781,1733,,AMZN
VANGUARD INTL EQUITY INDEX F,922042858,4759,120136,,
SPROTT PHYSICAL GOLD TR,85207H104,4734,330840,,
PORTLAND GEN ELEC CO,736508847,4525,108226,,
AKAMAI TECHNOLOGIES INC,00971T101,4114,38417,,AKAM
JPMORGAN CHASE & CO,46625H100,3874,41182,,JPM-PM
GENERAL ELECTRIC CO,369604103,3767,551504,,GE
CATERPILLAR INC DEL,149123101,3590,28378,,CAT
MERCK & CO. INC,58933Y105,3521,45528,,
NOVARTIS AG,66987V109,3380,38695,,NVSEF
ISHARES TR,464287663,2821,54006,,
STRYKER CORPORATION,863667101,2721,15100,,SYK
VANGUARD INDEX FDS,922908769,2677,17100,,
ISHARES TR,464287168,2572,31869,,
COLGATE PALMOLIVE CO,194162103,2555,34879,,CL
VANGUARD INDEX FDS,922908363,2545,8981,,
DEERE & CO,244199105,2543,16182,,DE
ABBOTT LABS,002824100,2458,26889,,
HOME DEPOT INC,437076102,2311,9224,,
COCA COLA CO,191216100,2294,51342,,KO
COGNIZANT TECHNOLOGY SOLUTIO,192446102,2213,38944,,
INTEL CORP,458140100,2031,33939,,INTC
PFIZER INC,717081103,1933,59107,,PFE
MOODYS CORP,615369105,1923,7000,,
ISHARES TR,464287614,1811,9436,,
ISHARES INC,46434G863,1803,56190,,
ALPHABET INC,02079K107,1760,1245,,GOOGN
ABBVIE INC,00287Y109,1754,17868,,ABBV
