name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
ALIBABA GROUP HLDG LTD,01609W102,727988,3375000,,
AMAZON COM INC,023135106,620735,225000,,AMZN
T-MOBILE US INC,872590104,614485,5900000,,
FACEBOOK INC,30303M102,507047,2233000,,
MICRON TECHNOLOGY INC,595112103,481712,9350000,,MU
ALPHABET INC,02079K107,472146,334000,,GOOGN
AT&T INC,00206R102,274404,9077200,,T-PC
TWITTER INC,90184L102,165335,5550000,,
VISA INC,92826C839,162263,840000,,V
MASTERCARD INCORPORATED,57636Q104,161157,545000,,
PAYPAL HLDGS INC,70450Y103,151580,870000,,
DISNEY WALT CO,254687106,133812,1200000,,
ENERGY TRANSFER LP,29273V100,107655,15120103,,ET-PI
NETFLIX INC,64110L106,104659,230000,,NFLX
SYSCO CORP,871829107,102488,1875000,,SYY
HCA HEALTHCARE INC,40412C101,101913,1050000,,
SALESFORCE COM INC,79466L302,93665,500000,,
ADOBE INC,00724F101,89892,206500,,ADBE
EMERSON ELEC CO,291011104,86842,1400000,,
PG&E CORP,69331C108,79330,8943659,,PCG-PX
BROADCOM INC,11135F101,63122,200000,,AVGO
ALTRIA GROUP INC,02209S103,60838,1550000,,
MICROSOFT CORP,594918104,56474,277500,,MSFT
WELLS FARGO CO NEW,949746101,48640,1900000,,
QUALCOMM INC,747525103,47019,515500,,
GOODYEAR TIRE & RUBR CO,382550101,44725,5000000,,
SQUARE INC,852234103,42374,403793,,
UNITEDHEALTH GROUP INC,91324P102,39818,135000,,UNH
BOSTON SCIENTIFIC CORP,101137107,33355,950000,,BSX
ALPS ETF TR,00162Q452,27592,1118000,,
VISTRA ENERGY CORP,92840M102,20854,1120000,,
WESTERN MIDSTREAM PARTNERS L,958669103,10797,1075428,,
TENNECO INC,880349105,8316,1100000,,
TESLA INC,88160R101,7559,7000,,
HUMANA INC,444859102,5429,14000,,HUM
ENABLE MIDSTREAM PARTNERS LP,292480100,2170,463670,,
T-MOBILE US INC,872590112,260,1550000,,
