name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
APPLE INC,037833100,521313,4267813,,AAPL
MICROSOFT CORP,594918104,435309,1846328,,MSFT
AMAZON COM INC,023135106,242944,78519,,AMZN
JPMORGAN CHASE & CO,46625H100,236789,1555471,,JPM-PM
ISHARES TR,464288257,205010,2154599,,
JOHNSON & JOHNSON,478160104,168901,1027690,,JNJ
PROCTER AND GAMBLE CO,742718109,162978,1203410,,
ABBOTT LABS,002824100,161496,1347593,,
PEPSICO INC,713448108,159168,1125263,,PEP
HOME DEPOT INC,437076102,157186,514941,,
ABBVIE INC,00287Y109,156501,1446133,,ABBV
VANGUARD INTL EQUITY INDEX F,922042775,144223,2376780,,
ALPHABET INC,02079K107,140342,67843,,GOOGN
DISNEY WALT CO,254687106,133017,720883,,
ALPHABET INC,02079K305,125904,61044,,GOOGN
VANGUARD INTL EQUITY INDEX F,922042858,120895,2322673,,
ILLINOIS TOOL WKS INC,452308109,114861,518514,,
VANGUARD TAX-MANAGED INTL FD,921943858,103687,2111315,,
VANGUARD INDEX FDS,922908769,103286,499716,,
MCDONALDS CORP,580135101,97180,433568,,MCD
NIKE INC,654106103,94829,713587,,
FLEXSHARES TR,33939L100,93171,584273,,
DANAHER CORPORATION,235851102,91440,406254,,
SPDR S&P MIDCAP 400 ETF TR,78467Y107,88251,185382,,
INTEL CORP,458140100,86457,1350885,,INTC
FACEBOOK INC,30303M102,84583,287181,,
EXXON MOBIL CORP,30231G102,79844,1430135,,
FLEXSHARES TR,33939L860,79423,1490118,,
ACCENTURE PLC IRELAND,G1151C101,78055,282551,,
CHEVRON CORP NEW,166764100,75320,718772,,CVX
STARBUCKS CORP,855244109,74569,682425,,SBUX
CISCO SYS INC,17275R102,71366,1380124,,
MASTERCARD INCORPORATED,57636Q104,70100,196882,,
PFIZER INC,717081103,69885,1928930,,PFE
ISHARES TR,464287507,68828,264439,,
COSTCO WHSL CORP NEW,22160K105,67830,192436,,
ISHARES TR,464288372,64953,1441166,,
BERKSHIRE HATHAWAY INC DEL,084670702,64816,253711,,BRK-A
NEXTERA ENERGY INC,65339F101,64576,854071,,NEE-PS
SALESFORCE COM INC,79466L302,64248,303243,,
3M CO,88579Y101,63858,331419,,MMM
ISHARES TR,464287499,62015,838829,,
COCA COLA CO,191216100,61772,1171926,,KO
UNITEDHEALTH GROUP INC,91324P102,61288,164723,,UNH
MERCK & CO. INC,58933Y105,60373,783145,,
VERIZON COMMUNICATIONS INC,92343V104,59874,1029650,,VZ
AUTOMATIC DATA PROCESSING IN,053015103,59827,317434,,
ADOBE SYSTEMS INCORPORATED,00724F101,59758,125709,,
VISA INC,92826C839,58381,275735,,V
DEERE & CO,244199105,56448,150875,,DE
PAYPAL HLDGS INC,70450Y103,54316,223670,,
ISHARES TR,46429B598,53119,1259341,,
AMGEN INC,031162100,52733,211942,,AMGN
ORACLE CORP,68389X105,52403,746795,,ORCL-PD
NORFOLK SOUTHN CORP,655844108,51322,191129,,
AMERICAN EXPRESS CO,025816109,50840,359448,,AXP
ISHARES TR,464287622,50744,226706,,
NVIDIA CORPORATION,67066G104,49049,91864,,NVDA
BRISTOL-MYERS SQUIBB CO,110122108,46526,736983,,
LOWES COS INC,548661107,45820,240929,,
CATERPILLAR INC,149123101,45693,197061,,CAT
ISHARES TR,464287614,45332,186521,,
COMCAST CORP NEW,20030N101,45211,835535,,CCZ
TEXAS INSTRS INC,882508104,44921,237688,,
AMERICAN TOWER CORP NEW,03027X100,44565,186416,,
FLEXSHARES TR,33939L837,42884,1669278,,
WALMART INC,931142103,41305,304094,,WMT
ANALOG DEVICES INC,032654105,40709,262505,,ADI
SELECT SECTOR SPDR TR,81369Y803,39521,297579,,
TARGET CORP,87612E106,39195,197886,,TGT
FLEXSHARES TR,33939L803,37470,535353,,
EMERSON ELEC CO,291011104,37409,414639,,
BOEING CO,097023105,37265,146298,,BA-PA
AIR PRODS & CHEMS INC,009158106,36797,130792,,
INTERCONTINENTAL EXCHANGE IN,45866F104,36312,325146,,
LINDE PLC,G5494J103,36287,129531,,LIN
BLACKROCK INC,09247X101,35540,47138,,
US BANCORP DEL,902973304,35217,636725,,
ASML HOLDING N V,N07059210,34745,56280,,
NORTHERN TR CORP,665859104,34644,329598,,
TJX COS INC NEW,872540109,33644,508601,,
HONEYWELL INTL INC,438516106,33451,154101,,
QUALCOMM INC,747525103,33329,251371,,
RAYTHEON TECHNOLOGIES CORP,75513E101,33195,429598,,
SPDR INDEX SHS FDS,78463X541,32832,653246,,
MEDTRONIC PLC,G5960L103,32581,275810,,MDT
LILLY ELI & CO,532457108,32041,171510,,
BK OF AMERICA CORP,060505104,31189,806135,,
INTUIT,461202103,31157,81337,,
CARNIVAL CORP,143658300,30793,1160247,,CCL
INTERNATIONAL BUSINESS MACHS,459200101,30296,227348,,
AT&T INC,00206R102,30114,994849,,T-PC
ECOLAB INC,278865100,30061,140428,,ECL
UNION PAC CORP,907818108,29528,133968,,
FLEXSHARES TR,33939L308,29282,475043,,
